Family	Control	Requirement	Testing Procedures	Guidance
	9.3.a		For a sample of onsite personnel with physical access to sensitive areas, interview responsible personnel and observe access control lists to verify that:  • Access to the sensitive area is authorized.  • Access is required for the individual’s job function.	
	9.3.b		Observe personnel accessing sensitive areas to verify that all personnel are authorized before being granted access.	
	9.3.c		Select a sample of recently terminated employees and review access control lists to verify the personnel do not have physical access to sensitive areas.	
	9.4	Implement procedures to identify and authorize visitors.  Procedures should include the following:	Verify that visitor authorization and access controls are in place as follows:	Visitor controls are important to reduce the ability of unauthorized and malicious persons to gain access to facilities (and potentially, to cardholder data).  Visitor controls ensure visitors are identifiable as visitors so personnel can monitor their activities, and that their access is restricted to just the duration of their legitimate visit.  Ensuring that visitor badges are returned upon expiry or completion of the visit prevents malicious persons from using a previously authorized pass to gain physical access into the building after the visit has ended.  A visitor log documenting minimum information on the visitor is easy and inexpensive to maintain and will assist in identifying physical access to a building or room, and potential access to cardholder data.
	9.4.1	Visitors are authorized before entering, and escorted at all times within, areas where cardholder data is processed or maintained.		
	9.4.1.a		Observe procedures and interview personnel to verify that visitors must be authorized before they are granted access to, and escorted at all times within, areas where cardholder data is processed or maintained.	
	9.4.1.b		Observe the use of visitor badges or other identification to verify that a physical token badge does not permit unescorted access to physical areas where cardholder data is processed or maintained.	
	9.4.2	Visitors are identified and given a badge or other identification that expires and that visibly distinguishes the visitors from onsite personnel.		
	9.4.2.a		Observe people within the facility to verify the use of visitor badges or other identification, and that visitors are easily distinguishable from onsite personnel.	
	9.4.2.b		Verify that visitor badges or other identification expire.	
	9.4.3	Visitors are asked to surrender the badge or identification before leaving the facility or at the date of expiration.	Observe visitors leaving the facility to verify visitors are asked to surrender their badge or other identification upon departure or expiration.	
	9.4.4	A visitor log is used to maintain a physical audit trail of visitor activity to the facility as well as computer rooms and data centers where cardholder data is stored or transmitted.  Document the visitor’s name, the firm represented, and the onsite personnel authorizing physical access on the log.  Retain this log for a minimum of three months, unless otherwise restricted by law.		
	9.4.4.a		Verify that a visitor log is in use to record physical access to the facility as well as computer rooms and data centers where cardholder data is stored or transmitted.	
	9.4.4.b		Verify that the log contains:  • The visitor’s name,  • The firm represented, and  • The onsite personnel authorizing physical access.	
	9.4.4.c		Verify that the log is retained for at least three months.	
	9.5	Physically secure all media.	Verify that procedures for protecting cardholder data include controls for physically securing all media (including but not limited to computers, removable electronic media, paper receipts, paper reports, and faxes).	Controls for physically securing media are intended to prevent unauthorized persons from gaining access to cardholder data on any type of media. Cardholder data is susceptible to unauthorized viewing, copying, or scanning if it is unprotected while it is on removable or portable media, printed out, or left on someone’s desk.
	9.5.1	Store media backups in a secure location, preferably an off-site facility, such as an alternate or backup site, or a commercial storage facility. Review the location’s security at least annually.	Verify that the storage location security is reviewed at least annually to confirm that backup media storage is secure.	If stored in a non-secured facility, backups that contain cardholder data may easily be lost, stolen, or copied for malicious intent.  Periodically reviewing the storage facility enables the organization to address identified security issues in a timely manner, minimizing the potential risk.
	9.6	Maintain strict control over the internal or external distribution of any kind of media, including the following:	Verify that a policy exists to control distribution of media, and that the policy covers all distributed media including that distributed to individuals.	Procedures and processes help protect cardholder data on media distributed to internal and/or external users. Without such procedures data can be lost or stolen and used for fraudulent purposes.
	9.6.1	Classify media so the sensitivity of the data can be determined.	Verify that all media is classified so the sensitivity of the data can be determined.	It is important that media be identified such that its classification status can be easily discernible. Media not identified as confidential may not be adequately protected or may be lost or stolen.  Note:This does not mean the media needs to have a “Confidential” label attached; the intent is that the organization has identified media that contains sensitive data so it can protect it.
	9.6.2	Send the media by secured courier or other delivery method that can be accurately tracked.		Media may be lost or stolen if sent via a non-trackable method such as regular postal mail. Use of secure couriers to deliver any media that contains cardholder data allows organizations to use their tracking systems to maintain inventory and location of shipments.
	9.6.2.a		Interview personnel and examine records to verify that all media sent outside the facility is logged and sent via secured courier or other delivery method that can be tracked.	
	9.6.2.b		Select a recent sample of several days of offsite tracking logs for all media, and verify tracking details are documented.	
	9.6.3	Ensure management approves any and all media that is moved from a secured area (including when media is distributed to individuals).	Select a recent sample of several days of offsite tracking logs for all media. From examination of the logs and interviews with responsible personnel, verify proper management authorization is obtained whenever media is moved from a secured area (including when media is distributed to individuals).	Without a firm process for ensuring that all media movements are approved before the media is removed from secure areas, the media would not be tracked or appropriately protected, and its location would be unknown, leading to lost or stolen media.
	9.7	Maintain strict control over the storage and accessibility of media.	Obtain and examine the policy for controlling storage and maintenance of all media and verify that the policy requires periodic media inventories.	Without careful inventory methods and storage controls, stolen or missing media could go unnoticed for an indefinite amount of time.  If media is not inventoried, stolen or lost media may not be noticed for a long time or at all.
	9.7.1	Properly maintain inventory logs of all media and conduct media inventories at least annually.	Review media inventory logs to verify that logs are maintained and media inventories are performed at least annually.	
	9.8	Destroy media when it is no longer needed for business or legal reasons as follows:	Examine the periodic media destruction policy and verify that it covers all media and defines requirements for the following:  • Hard-copy materials must be crosscut shredded, incinerated, or pulped such that there is reasonable assurance the hard-copy materials cannot be reconstructed.  • Storage containers used for materials that are to be destroyed must be secured.  • Cardholder data on electronic media must be rendered unrecoverable (e.g., via a secure wipe program in accordance with industry-accepted standards for secure deletion, or by physically destroying the media).	If steps are not taken to destroy information contained on hard disks, portable drives, CD/DVDs, or paper prior to disposal, malicious individuals may be able to retrieve information from the disposed media, leading to a data compromise. For example, malicious individuals may use a technique known as “dumpster diving,” where they search through trashcans and recycle bins looking for information they can use to launch an attack.  Securing storage containers used for materials that are going to be destroyed prevents sensitive information from being captured while the materials are being collected. For example, “to-be-shredded” containers could have a lock preventing access to its contents or physic ally prevent access to the inside of the container.  Examples of methods for securely destroying electronic media include secure wiping, degaussing, or physical destruction (such as grinding or shredding hard disks).
	9.8.1	Shred, incinerate, or pulp hard-copy materials so that cardholder data cannot be reconstructed. Secure storage containers used for materials that are to be destroyed.		
	9.8.1.a		Interview personnel and examine procedures to verify that hard-copy materials are crosscut shredded, incinerated, or pulped such that there is reasonable assurance the hard-copy materials cannot be reconstructed.	
	9.8.1.b		Examine storage containers used for materials that contain information to be destroyed to verify that the containers are secured.	
	9.8.2	Render cardholder data on electronic media unrecoverable so that cardholder data cannot be reconstructed.	Verify that cardholder data on electronic media is rendered unrecoverable (e.g., via a secure wipe program in accordance with industry-accepted standards for secure deletion, or by physically destroying the media).	
	9.9	Protect devices that capture payment card data via direct physical interaction with the card from tampering and substitution.  Note:These requirements apply to card-reading devices used in card-present transactions (that is, card swipe or dip) at the point of sale. This requirement is not intended to apply to manual key-entry components such as computer keyboards and POS keypads.	Examine documented policies and procedures to verify they include:  • Maintaining a list of devices  • Periodically inspecting devices to look for tampering or substitution  • Training personnel to be aware of suspicious behavior and to report tampering or substitution of devices.	Criminals attempt to steal cardholder data by stealing and/or manipulating card-reading devices and terminals. For example, they will try to steal devices so they can learn how to break into them, and they often try to replace legitimate devices with fraudulent devices that send them payment card information every time a card is entered. Criminals will also try to add “skimming” components to the outside of devices, which are designed to capture payment card details before they even enter the device—for example, by attaching an additional card reader on top of the legitimate card reader so that the payment card details are captured twice: once by the criminal’s component and then by the device’s legitimate component. In this way, transactions may still be completed without interruption while the criminal is “skimming” the payment card information during the process.  This requirement is recommended, but not required, for manual key-entry components such as computer keyboards and POS keypads.  Additional best practices on skimming prevention are available on the PCI SSC website.
	9.9.1	Maintain an up-to-date list of devices. The list should include the following:  • Make, model of device  • Location of device (for example, the address of the site or facility where the device is located)  • Device serial number or other method of unique identification.		Keeping an up-to-date list of devices helps an organization keep track of where devices are supposed to be, and quickly identify if a device is missing or lost.  The method for maintaining a list of devices may be automated (for example, a device-management system) or manual (for example, documented in electronic or paper records). For on-the-road devices, the location may include the name of the personnel to whom the device is assigned.
	9.9.1.a		Examine the list of devices to verify it includes:  • Make, model of device  • Location of device (for example, the address of the site or facility where the device is located)  • Device serial number or other method of unique identification.	
	9.9.1.b		Select a sample of devices from the list and observe devices and device locations to verify that the list is accurate and up to date.	
	9.9.1.c		Interview personnel to verify the list of devices is updated when devices are added, relocated, decommissioned, etc.	
	9.9.2	Periodically inspect device surfaces to detect tampering (for example, addition of card skimmers to devices), or substitution (for example, by checking the serial number or other device characteristics to verify it has not been swapped with a fraudulent device).  Note:Examples of signs that a device might have been tampered with or substituted include unexpected attachments or cables plugged into the device, missing or changed security labels, broken or differently colored casing, or changes to the serial number or other external markings.		Regular inspections of devices will help organizations to more quickly detect tampering or replacement of a device, and thereby minimize the potential impact of using fraudulent devices.  The type of inspection will depend on the device—for example, photographs of devices that are known to be secure can be used to compare a device’s current appearance with its original appearance to see whether it has changed. Another option may be to use a secure marker pen, such as a UV light marker, to mark device surfaces and device openings so any tampering or replacement will be apparent. Criminals will often replace the outer casing of a device to hide their tampering, and these methods may help to detect such activities. Device vendors may also be able to provide security guidance and “how to” guides to help determine whether the device has been tampered with.  The frequency of inspections will depend on factors such as location of device and whether the device is attended or unattended. For example, devices left in public areas without supervision by the organization’s personnel may have more frequent inspections than devices that are kept in secure areas or are supervised when they are accessible to the public. The type and frequency of inspections is determined by the merchant, as defined by their annual risk-assessment process.
	9.9.2.a		Examine documented procedures to verify processes are defined to include the following:  • Procedures for inspecting devices  • Frequency of inspections.	
	9.9.2.b		Interview responsible personnel and observe inspection processes to verify:  • Personnel are aware of procedures for inspecting devices.  • All devices are periodically inspected for evidence of tampering and substitution.	
	9.9.3	Provide training for personnel to be aware of attempted tampering or replacement of devices. Training should include the following:  • Verify the identity of any third-party persons claiming to be repair or maintenance personnel, prior to granting them access to modify or troubleshoot devices.  • Do not install, replace, or return devices without verification.  • Be aware of suspicious behavior around devices (for example, attempts by unknown persons to unplug or open devices).  • Report suspicious behavior and indications of device tampering or substitution to appropriate personnel (for example, to a manager or security officer).		Criminals will often pose as authorized maintenance personnel in order to gain access to POS devices. All third parties requesting access to devices should always be verified before being provided access—for example, by checking with management or phoning the POS maintenance company (such as the vendor or acquirer) for verification. Many criminals will try to fool personnel by dressing for the part (for example, carrying toolboxes and dressed in work wear), and could also be knowledgeable about locations of devices, so it’s important personnel are trained to follow procedures at all times.  Another trick criminals like to use is to send a “new” POS system with instructions for swapping it with a legitimate system and “returning” the legitimate system to a specified address. The criminals may even provide return postage as they are very keen to get their hands on these devices. Personnel always verify with their manager or supplier that the device is legitimate and came from a trusted source before installing it or using it for business.
	9.9.3.a		Review training materials for personnel at point-of-sale locations to verify they include training in the following:  • Verifying the identity of any third-party persons claiming to be repair or maintenance personnel, prior to granting them access to modify or troubleshoot devices  • Not to install, replace, or return devices without verification  • Being aware of suspicious behavior around devices (for example, attempts by unknown persons to unplug or open devices)  • Reporting suspicious behavior and indications of device tampering or substitution to appropriate personnel (for example, to a manager or security officer).	
	9.9.3.b		Interview a sample of personnel at point-of-sale locations to verify they have received training and are aware of the procedures for the following:  • Verifying the identity of any third-party persons claiming to be repair or maintenance personnel, prior to granting them access to modify or troubleshoot devices  • Not to install, replace, or return devices without verification  • Being aware of suspicious behavior around devices (for example, attempts by unknown persons to unplug or open devices)  • Reporting suspicious behavior and indications of device tampering or substitution to appropriate personnel (for example, to a manager or security officer).	
	9.1	Ensure that security policies and operational procedures for restricting physical access to cardholder data are documented, in use, and known to all affected parties.	Examine documentation and interview personnel to verify that security policies and operational procedures for restricting physical access to cardholder data are:  • Documented,  • In use, and  • Known to all affected parties.	Personnel need to be aware of and following security policies and operational procedures for restricting physical access to cardholder data and CDE systems on a continuous basis.
10		Track and monitor all access to network resources and cardholder data		Logging mechanisms and the ability to track user activities are critical in preventing, detecting, or minimizing the impact of a data compromise. The presence of logs in all environments allows thorough tracking, alerting, and analysis when something does go wrong. Determining the cause of a compromise is very difficult, if not impossible, without system activity logs.
	10.1	Implement audit trails to link all access to system components to each individual user.	Verify, through observation and interviewing the system administrator, that:  • Audit trails are enabled and active for system components.  • Access to system components is linked to individual users.	It is critical to have a process or system that links user access to system components accessed. This system generates audit logs and provides the ability to trace back suspicious activity to a specific user.
	10.2	Implement automated audit trails for all system components to reconstruct the following events:	Through interviews of responsible personnel, observation of audit logs, and examination of audit log settings, perform the following:	Generating audit trails of suspect activities alerts the system administrator, sends data to other monitoring mechanisms (like intrusion detection systems), and provides a history trail for post-incident follow-up. Logging of the following events enables an organization to identify and trace potentially malicious activities
	10.2.1	All individual user accesses to cardholder data	Verify all individual access to cardholder data is logged.	Malicious individuals could obtain knowledge of a user account with access to systems in the CDE, or they could create a new, unauthorized account in order to access cardholder data. A record of all individual accesses to cardholder data can identify which accounts may have been compromised or misused.
	10.2.2	All actions taken by any individual with root or administrative privileges	Verify all actions taken by any individual with root or administrative privileges are logged.	Accounts with increased privileges, such as the “administrator” or “root” account, have the potential to greatly impact the security or operational functionality of a system. Without a log of the activities performed, an organization is unable to trace any issues resulting from an administrative mistake or misuse of privilege back to the specific action and individual.
	10.2.3	Access to all audit trails	Verify access to all audit trails is logged.	Malicious users often attempt to alter audit logs to hide their actions, and a record of access allows an organization to trace any inconsistencies or potential tampering of the logs to an individual account. Having access to logs identifying changes, additions, and deletions can help retrace steps made by unauthorized personnel.
	10.2.4	Invalid logical access attempts	Verify invalid logical access attempts are logged.	Malicious individuals will often perform multiple access attempts on targeted systems. Multiple invalid login attempts may be an indication of an unauthorized user’s attempts to “brute force” or guess a password.
	10.2.5	Use of and changes to identification and authentication mechanisms—including but not limited to creation of new accounts and elevation of privileges—and all changes, additions, or deletions to accounts with root or administrative privileges		Without knowing who was logged on at the time of an incident, it is impossible to identify the accounts that may have been used. Additionally, malicious users may attempt to manipulate the authentication controls with the intent of bypassing them or impersonating a valid account.
	10.2.5.a		Verify use of identification and authentication mechanisms is logged.	
	10.2.5.b		Verify all elevation of privileges is logged.	
	10.2.5.c		Verify all changes, additions, or deletions to any account with root or administrative privileges are logged.	
	10.2.6	Initialization, stopping, or pausing of the audit logs	Verify the following are logged:  • Initialization of audit logs  • Stopping or pausing of audit logs.	Turning the audit logs off (or pausing them) prior to performing illicit activities is a common practice for malicious users wishing to avoid detection. Initialization of audit logs could indicate that the log function was disabled by a user to hide their actions.
	10.2.7	Creation and deletion of system-level objects	Verify creation and deletion of system level objects are logged.	Malicious software, such as malware, often creates or replaces system level objects on the target system in order to control a particular function or operation on that system. By logging when system-level objects, such as database tables or stored procedures, are created or deleted, it will be easier to determine whether such modifications were authorized.
	10.3	Record at least the following audit trail entries for all system components for each event:	Through interviews and observation of audit logs, for each auditable event (from 10.2), perform the following:	By recording these details for the auditable events at 10.2, a potential compromise can be quickly identified, and with sufficient detail to know who, what, where, when, and how.
	10.3.1	User identification	Verify user identification is included in log entries.	
	10.3.2	Type of event	Verify type of event is included in log entries.	
	10.3.3	Date and time	Verify date and time stamp is included in log entries.	
	10.3.4	Success or failure indication	Verify success or failure indication is included in log entries.	
	10.3.5	Origination of event	Verify origination of event is included in log entries.	
	10.3.6	Identity or name of affected data, system component, or resource.	Verify identity or name of affected data, system component, or resources is included in log entries.	
	10.4	Using time-synchronization technology, synchronize all critical system clocks and times and ensure that the following is implemented for acquiring, distributing, and storing time.  Note:One example of time synchronization technology is Network Time Protocol (NTP).	Examine configuration standards and processes to verify that time-synchronization technology is implemented and kept current per PCI DSS Requirements 6.1 and 6.2.	Time synchronization technology is used to synchronize clocks on multiple systems. When clocks are not properly synchronized, it can be difficult, if not impossible, to compare log files from different systems and establish an exact sequence of event (crucial for forensic analysis in the event of a breach). For post-incident forensics teams, the accuracy and consistency of time across all systems and the time of each activity is critical in determining how the systems were compromised.
	10.4.1	Critical systems have the correct and consistent time.		
	10.4.1.a		Examine the process for acquiring, distributing and storing the correct time within the organization to verify that:  • Only the designated central time server(s) receives time signals from external sources, and time signals from external sources are based on International Atomic Time or UTC.  • Where there is more than one designated time server, the time servers peer with one another to keep accurate time,  • Systems receive time information only from designated central time server(s).	
	10.4.1.b		Observe the time-related system-parameter settings for a sample of system components to verify:  • Only the designated central time server(s) receives time signals from external sources, and time signals from external sources are based on International Atomic Time or UTC.  • Where there is more than one designated time server, the designated central time server(s) peer with one another to keep accurate time.  • Systems receive time only from designated central time server(s).	
	10.4.2	Time data is protected.		
	10.4.2.a		Examine system configurations and time-synchronization settings to verify that access to time data is restricted to only personnel with a business need to access time data.	
	10.4.2.b		Examine system configurations, time synchronization settings and logs, and processes to verify that any changes to time settings on critical systems are logged, monitored, and reviewed.	
	10.4.3	Time settings are received from industry-accepted time sources.	Examine systems configurations to verify that the time server(s) accept time updates from specific, industry-accepted external sources (to prevent a malicious individual from changing the clock). Optionally, those updates can be encrypted with a symmetric key, and access control lists can be created that specify the IP addresses of client machines that will be provided with the time updates (to prevent unauthorized use of internal time servers).	
	10.5	Secure audit trails so they cannot be altered.	Interview system administrators and examine system configurations and permissions to verify that audit trails are secured so that they cannot be altered as follows:	Often a malicious individual who has entered the network will attempt to edit the audit logs in order to hide their activity. Without adequate protection of audit logs, their completeness, accuracy, and integrity cannot be guaranteed, and the audit logs can be rendered useless as an investigation tool after a compromise.
	10.5.1	Limit viewing of audit trails to those with a job-related need.	Only individuals who have a job-related need can view audit trail files.	Adequate protection of the audit logs includes strong access control (limit access to logs based on “need to know” only), and use of physical or network segregation to make the logs harder to find and modify.  Promptly backing up the logs to a centralized log server or media that is difficult to alter keeps the logs protected even if the system generating the logs becomes compromised.
	10.5.2	Protect audit trail files from unauthorized modifications.	Current audit trail files are protected from unauthorized modifications via access control mechanisms, physical segregation, and/or network segregation.	
	10.5.3	Promptly back up audit trail files to a centralized log server or media that is difficult to alter.	Current audit trail files are promptly backed up to a centralized log server or media that is difficult to alter.	
	10.5.4	Write logs for external-facing technologies onto a secure, centralized, internal log server or media device.	Logs for external-facing technologies (for example, wireless, firewalls, DNS, mail) are written onto a secure, centralized, internal log server or media.	By writing logs from external-facing technologies such as wireless, firewalls, DNS, and mail servers, the risk of those logs being lost or altered is lowered, as they are more secure within the internal network.  Logs may be written directly, or offloaded or copied from external systems, to the secure internal system or media.
	10.5.5	Use file-integrity monitoring or change-detection software on logs to ensure that existing log data cannot be changed without generating alerts (although new data being added should not cause an alert).	Examine system settings, monitored files, and results from monitoring activities to verify the use of file-integrity monitoring or change-detection software on logs.	File-integrity monitoring or change-detection systems check for changes to critical files, and notify when such changes are noted. For file-integrity monitoring purposes, an entity usually monitors files that don’t regularly change, but when changed indicate a possible compromise.
	10.6	Review logs and security events for all system components to identify anomalies or suspicious activity.  Note:Log harvesting, parsing, and alerting tools may be used to meet this Requirement.	Perform the following:	Many breaches occur over days or months before being detected. Regular log reviews by personnel or automated means can identify and proactively address unauthorized access to the cardholder data environment.  The log review process does not have to be manual. The use of log harvesting, parsing, and alerting tools can help facilitate the process by identifying log events that need to be reviewed.
	10.6.1	Review the following at least daily:  • All security events  • Logs of all system components that store, process, or transmit CHD and/or SAD  • Logs of all critical system components  • Logs of all servers and system components that perform security functions (for example, firewalls, intrusion-detection systems/intrusion-prevention systems (IDS/IPS), authentication servers, e-commerce redirection servers, etc.).		Checking logs daily minimizes the amount of time and exposure of a potential breach.  Daily review of security events—for example, notifications or alerts that identify suspicious or anomalous activities—as well as logs from critical system components, and logs from systems that perform security functions, such as firewalls, IDS/IPS, file-integrity monitoring (FIM) systems, etc. is necessary to identify potential issues. Note that the determination of “security event” will vary for each organization and may include consideration for the type of technology, location, and function of the device. Organizations may also wish to maintain a baseline of “normal” traffic to help identify anomalous behavior.
	10.6.1.a		Examine security policies and procedures to verify that procedures are defined for reviewing the following at least daily, either manually or via log tools:  • All security events  • Logs of all system components that store, process, or transmit CHD and/or SAD  • Logs of all critical system components  • Logs of all servers and system components that perform security functions (for example, firewalls, intrusion-detection systems/intrusion-prevention systems (IDS/IPS), authentication servers, e-commerce redirection servers, etc.)	
	10.6.1.b		Observe processes and interview personnel to verify that the following are reviewed at least daily:  • All security events  • Logs of all system components that store, process, or transmit CHD and/or SAD  • Logs of all critical system components  • Logs of all servers and system components that perform security functions (for example, firewalls, intrusion-detection systems/intrusion-prevention systems (IDS/IPS), authentication servers, e-commerce redirection servers, etc.).	
	10.6.2	Review logs of all other system components periodically based on the organization’s policies and risk management strategy, as determined by the organization’s annual risk assessment.		Logs for all other system components should also be periodically reviewed to identify indications of potential issues or attempts to gain access to sensitive systems via less-sensitive systems. The frequency of the reviews should be determined by an entity’s annual risk assessment.
	10.6.2.a		Examine security policies and procedures to verify that procedures are defined for reviewing logs of all other system components periodically—either manually or via log tools—based on the organization’s policies and risk management strategy.	
	10.6.2.b		Examine the organization’s risk-assessment documentation and interview personnel to verify that reviews are performed in accordance with organization’s policies and risk management strategy.	
	10.6.3	Follow up exceptions and anomalies identified during the review process.		If exceptions and anomalies identified during the log-review process are not investigated, the entity may be unaware of unauthorized and potentially malicious activities that are occurring within their own network.
	10.6.3.a		Examine security policies and procedures to verify that procedures are defined for following up on exceptions and anomalies identified during the review process.	
	10.6.3.b		Observe processes and interview personnel to verify that follow-up to exceptions and anomalies is performed.	
	10.7	Retain audit trail history for at least one year, with a minimum of three months immediately available for analysis (for example, online, archived, or restorable from backup).		Retaining logs for at least a year allows for the fact that it often takes a while to notice that a compromise has occurred or is occurring, and allows investigators sufficient log history to better determine the length of time of a potential breach and potential system(s) impacted. By having three months of logs immediately available, an entity can quickly identify and minimize impact of a data breach. Storing logs in off-line locations could prevent them from being readily available, resulting in longer time frames to restore log data, perform analysis, and identify impacted systems or data.
	10.7.a		Examine security policies and procedures to verify that they define the following:  • Audit log retention policies  • Procedures for retaining audit logs for at least one year, with a minimum of three months immediately available online.	
	10.7.b		Interview personnel and examine audit logs to verify that audit logs are retained for at least one year.	
	10.7.c		Interview personnel and observe processes to verify that at least the last three months’ logs are immediately available for analysis.	
	10.8	Additional requirement for service providers only:Implement a process for the timely detection and reporting of failures of critical security control systems, including but not limited to failure of:  • Firewalls  • IDS/IPS  • FIM  • Anti-virus  • Physical access controls  • Logical access controls  • Audit logging mechanisms  • Segmentation controls (if used)		Note:This requirement applies only when the entity being assessed is a service provider.  Without formal processes to detect and alert when critical security controls fail, failures may go undetected for extended periods and provide attackers ample time to compromise systems and steal sensitive data from the cardholder data environment.  The specific types of failures may vary depending on the function of the device and technology in use. Typical failures include a system ceasing to perform its security function or not functioning in its intended manner; for example, a firewall erasing all its rules or going offline.
	10.8.a		Examine documented policies and procedures to verify that processes are defined for the timely detection and reporting of failures of critical security control systems, including but not limited to failure of:  • Firewalls  • IDS/IPS  • FIM  • Anti-virus  • Physical access controls  • Logical access controls  • Audit logging mechanisms  • Segmentation controls (if used)	
	10.8.b		Examine detection and alerting processes and interview personnel to verify that processes are implemented for all critical security controls, and that failure of a critical security control results in the generation of an alert.	
	10.8.1	Additional requirement for service providers only:Respond to failures of any critical security controls in a timely manner. Processes for responding to failures in security controls must include:  • Restoring security functions  • Identifying and documenting the duration (date and time start to end) of the security failure  • Identifying and documenting cause(s) of failure, including root cause, and documenting remediation required to address root cause  • Identifying and addressing any security issues that arose during the failure  • Performing a risk assessment to determine whether further actions are required as a result of the security failure  • Implementing controls to prevent cause of failure from reoccurring  • Resuming monitoring of security controls		Note:This requirement applies only when the entity being assessed is a service provider.  If critical security control failures alerts are not quickly and effectively responded to, attackers may use this time to insert malicious software, gain control of a system, or steal data from the entity’s environment.  Documented evidence (e.g., records within a problem management system) should support that processes and procedures are in place to respond to security failures. In addition, personnel should be aware of their responsibilities in the event of a failure. Actions and responses to the failure should be captured in the documented evidence.
	10.8.1.a		Examine documented policies and procedures and interview personnel to verify processes are defined and implemented to respond to a security control failure, and include:  • Restoring security functions  • Identifying and documenting the duration (date and time start to end) of the security failure  • Identifying and documenting cause(s) of failure, including root cause, and documenting remediation required to address root cause  • Identifying and addressing any security issues that arose during the failure  • Performing a risk assessment to determine whether further actions are required as a result of the security failure  • Implementing controls to prevent cause of failure from reoccurring  • Resuming monitoring of security controls	
	10.8.1.b		Examine records to verify that security control failures are documented to include:  • Identification of cause(s) of the failure, including root cause  • Duration (date and time start and end) of the security failure  • Details of the remediation required to address the root cause	
	10.9	Ensure that security policies and operational procedures for monitoring all access to network resources and cardholder data are documented, in use, and known to all affected parties.	Examine documentation and interview personnel to verify that security policies and operational procedures for monitoring all access to network resources and cardholder data are:  • Documented,  • In use, and  • Known to all affected parties.	Personnel need to be aware of and following security policies and daily operational procedures for monitoring all access to network resources and cardholder data on a continuous basis.
11		Regularly test security systems and processes.		Vulnerabilities are being discovered continually by malicious individuals and researchers, and being introduced by new software. System components, processes, and custom software should be tested frequently to ensure security controls continue to reflect a changing environment.
	11.1	Implement processes to test for the presence of wireless access points (802.11), and detect and identify all authorized and unauthorized wireless access points on a quarterly basis.  Note:Methods that may be used in the process include but are not limited to wireless network scans, physical/logical inspections of system components and infrastructure, network access control (NAC), or wireless IDS/IPS.  Whichever methods are used, they must be sufficient to detect and identify both authorized and unauthorized devices.		Implementation and/or exploitation of wireless technology within a network are some of the most common paths for malicious users to gain access to the network and cardholder data. If a wireless device or network is installed without a company’s knowledge, it can allow an attacker to easily and “invisibly” enter the network. Unauthorized wireless devices may be hidden within or attached to a computer or other system component, or be attached directly to a network port or network device, such as a switch or router. Any such unauthorized device could result in an unauthorized access point into the environment.  Knowing which wireless devices are authorized can help administrators quickly identify non-authorized wireless devices, and responding to the identification of unauthorized wireless access points helps to proactively minimize the exposure of CDE to malicious individuals.  Due to the ease with which a wireless access point can be attached to a network, the difficulty in detecting their presence, and the increased risk presented by unauthorized wireless devices, these processes must be performed even when a policy exists prohibiting the use of wireless technology.  The size and complexity of a particular environment will dictate the appropriate tools and processes to be used to provide sufficient assurance that a rogue wireless access point has not been installed in the environment.  For example: In the case of a single standalone retail kiosk in a shopping mall, where all communication components are contained within tamper-resistant and tamper-evident casings, performing a detailed physical inspection of the kiosk itself may be sufficient to provide assurance that a rogue wireless access point has not been attached or installed. However, in an environment with multiple nodes (such as in a large retail store, call center, server room or data center), detailed physical inspection is difficult. In this case, multiple methods may be combined to meet the requirement, such as performing physical system inspections in conjunction with the results of a wireless analyzer.
	11.1.a		Examine policies and procedures to verify processes are defined for detection and identification of both authorized and unauthorized wireless access points on a quarterly basis.	
	11.1.b		Verify that the methodology is adequate to detect and identify any unauthorized wireless access points, including at least the following:  • WLAN cards inserted into system components  • Portable or mobile devices attached to system components to create a wireless access point (for example, by USB, etc.)  • Wireless devices attached to a network port or network device.	
	11.1.c		If wireless scanning is utilized, examine output from recent wireless scans to verify that:  • Authorized and unauthorized wireless access points are identified, and  • The scan is performed at least quarterly for all system components and facilities.	
