Section	Control	Level 4	Level 5	Level 6	Requirement	Parameters
	CA-3 (5)					CA-3 (5) deny-all, permit by exception any systems requiring external connectivity Source: DoD RMF TAG ------------------- FedRAMP Additional Requirements and Guidance: For JAB Authorization, CSPs shall include details of this control in their Architecture Briefing
	CA-5					CA-5 b. At least every 90 days Source: DoD RMF TAG ------------------- CA-5b. [at least monthly] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: CA-5 Guidance: Requirement: POA&Ms must be provided at least monthly.
	CA-6					CA-6 c. at least every three years, whenever there is a significant change to the system, or if there is a change to the environment in which the system operates. Source: DoD RMF TAG ------------------- CA-6c. [at least every three years or when a significant change occurs] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: CA-6c. Guidance: Significant change is defined in NIST Special Publication 800-37 Revision 1, Appendix F. The service provider describes the types of changes to the information system or the environment of operations that would impact the risk posture. The types of changes are approved and accepted by the Authorizing Official.
	CA-7					CA-7 Future DoD-wide CM guidance to be published. Source: DoD RMF TAG ------------------- CA-7d. [To meet Federal and FedRAMP requirements] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Operating System Scans: at least monthly Database and Web Application Scans: at least monthly All scans performed by Independent Assessor: at least annually CA-7 Guidance: CSPs must provide evidence of closure and remediation of high vulnerabilities within the timeframe for standard POA&M updates.
	CA-7 (1)					CA-7 (1) Future DoD-wide CM guidance to be published. Source: DoD RMF TAG -------------------
	CA-8					CA-8 Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- [at least annually] Source: FedRAMP v2 -------------------
	CA-9					CA-9 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	CM-1					CM-1 a. all stakeholders in the configuration management process b. 1. annually b. 2. annually Source: DoD RMF TAG ------------------- CM-1.b.1 [at least every 3 years] CM-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	CM-2 (1)					CM-2 (1) a. annually; b. baseline configuration changes or as events dictate such as changes due to USCYBERCOM tactical orders/ directives or cyber attacks. Source: DoD RMF TAG ------------------- CM-2 (1) (a). [at least annually] CM-2 (1) (b). [to include when directed by Authorizing Official] Source: FedRAMP v2 -------------------
	CM-2 (3)					CM-2 (3) the previous approved baseline configuration of IS components for a minimum of 3 month Source: DoD RMF TAG -------------------
	CM-2 (7)					CM-2 (7) a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings; a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings; b. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	CM-3					CM-3 e. The time period should be defined at the organization's CCB. g. a configuration control board; g. at a frequency determined by the CCB; g. configuration change conditions determined by the CCB. Source: DoD RMF TAG ------------------- FedRAMP Additional Requirements and Guidance: Requirement: The service provider establishes a central means of communicating major changes to or developments in the information system or environment of operations that may affect its services to the federal government and associated service consumers (e.g., electronic bulletin board, web status page). The means of communication are approved and accepted by the Authorizing Official. CM-3e Guidance: In accordance with record retention policies and procedures.
	CM-3 (4)					CM-3 (4) configuration control board (CCB) (as defined in CM-3, CCI 1586) Source: DoD RMF TAG -------------------
	CM-3 (6)					CM-3 (6) All security safeguards that rely on cryptography Source: DoD RMF TAG CNSSI 1253
	CM-5 (2)					CM-5 (2) Every 90 days or more frequently as the organization defines for high systems AND at least annually or more frequently as the organization defines for low and moderate systems; When there is an incident or when planned changes have been performed Source: DoD RMF TAG -------------------
	CM-5 (3)					CM-5 (3) Any software or firmware components when the vendor provides digitally signed products Source: DoD RMF TAG ------------------- FedRAMP Additional Requirements and Guidance: Guidance: If digital signatures/certificates are unavailable, alternative cryptographic integrity checks (hashes, self-signed certs, etc.) can be utilized.
	CM-5 (5)					CM-5 (5) b. every 90 days Source: DoD RMF TAG ------------------- CM-5 (5) (b). [at least quarterly] Source: FedRAMP v2 -------------------
	CM-6					CM-6 a. DoD security configuration or implementation guidance (e.g. STIGs, SRGs, NSA configuration guides, CTOs, DTMs etc.).; c. All configurable information system components; c. Not appropriate for DoD to define for all CSP's infrastructure or service offerings; Source: DoD RMF TAG NOTE: DISA will evaluate Commercial CSP equivalencies on a case by case basis. -------------------  CM-6a. [See CM-6(a) Additional FedRAMP Requirements and Guidance] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: CM-6a. Requirement: The service provider shall use the Center for Internet Security guidelines (Level 1) to establish configuration settings or establishes its own configuration settings if USGCB is not available. CM-6a. Requirement: The service provider shall ensure that checklists for configuration settings are Security Content Automation Protocol (SCAP) validated or SCAP compatible (if validated checklists are not available). CM-6a. Guidance: Information on the USGCB checklists can be found at: http://usgcb.nist.gov/usgcb_faq.html#usgcbfaq_usgcbfdcc .
	CM-6 (1)					CM-6 (1) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	CM-7					CM-7 IAW DoDI 8551.01 Source: DoD RMF TAG ------------------- CM-7. [United States Government Configuration Baseline (USGCB)] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Requirement: The service provider shall use the Center for Internet Security guidelines (Level 1) to establish list of prohibited or restricted functions, ports, protocols, and/or services or establishes its own list of prohibited or restricted functions, ports, protocols, and/or services if USGCB is not available. CM-7. Guidance: Information on the USGCB checklists can be found at: http://usgcb.nist.gov/usgcb_faq.html#usgcbfaq_usgcbfdcc. (Partially derived from AC-17(8).)
	CM-7 (1)					CM-7 (1) a. every 30 days; b. Not appropriate to define unnecessary functions, ports, protocols and service at the Enterprise level. Nonsecure functions, ports, protocols and services are defined in DoDI 8551.01. Source: DoD RMF TAG ------------------- CM-7(1) [ At least Monthly] Source: FedRAMP v2 -------------------
	CM-7 (2)					CM-7 (2) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- FedRAMP Additional Requirements and Guidance: CM-7(2) Guidance: This control shall be implemented in a technical manner on the information system to only allow programs to run that adhere to the policy (i.e. white listing). This control is not to be based off of strictly written policy on what is allowed or not allowed to run.
	CM-7 (5)					CM-7 (5) a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings; c. Monthly Source: DoD RMF TAG ------------------- CM-7(5)[ at least Annually or when there is a change.] Source: FedRAMP v2 -------------------
	CM-8					CM-8 a. hardware inventory specifications (manufacturer, type, model, serial number, physical location), software license information, information system/component owner, and for a networked component/device, the machine name.; b. at a minimum, annually Source: DoD RMF TAG ------------------- CM-8b. [at least monthly] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: CM-8 Requirement: must be provided at least monthly or when there is a change.
	CM-8 (3)					CM-8 (3) a. continuously; b. the ISSO and ISSM and others as the local organization deems appropriate Source: DoD RMF TAG ------------------- CM-8 (3) (a). [Continuously, using automated mechanisms with a maximum five-minute delay in detection.] Source: FedRAMP v2 -------------------
	CM-10 (1)					CM-10 (1) IAW DoD Memorandum "Clarifying Guidance Regarding Open Source Software (OSS)" 16 Oct 2009 (http://dodcio.defense.gov/Home/Issuances/DoDCIOMemorandums.aspx). Source: DoD RMF TAG -------------------
	CM-11					CM-11 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings; b. Not appropriate for DoD to define for all CSP's infrastructure or service offerings; c. at least monthly Source: DoD RMF TAG ------------------- CM-11.c. [Continuously (via CM-7 (5))] Source: FedRAMP v2 -------------------
	CP-1					CP-1 a. all stakeholders identified in the contingency plan b. (1) every 5 years b. (2) annually Source: DoD RMF TAG ------------------- CP-1.b.1 [at least every 3 years] CP-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	CP-2					CP-2 a. at a minimum, the ISSM and ISSO b. all stakeholders identified in the contingency plan d. annually f: all stakeholders identified in the contingency plan Source: DoD RMF TAG ------------------- CP-2d. [at least annually] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Requirement: For JAB authorizations the contingency lists include designated FedRAMP personnel.
	CP-2 (3)					CP-2 (3) 1 hour (Availability High ) 12 hours (Availability Moderate) as defined in the contingency plan Source: DoD RMF TAG -------------------
	CP-3					CP-3 a. at a maximum, 10 working days c. at least annually Source: DoD RMF TAG ------------------- CP-3.a. [ 10 days] CP-3.c. [at least annually] Source: FedRAMP v2 -------------------
	CP-4					CP-4 a. at least annually a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- CP-4a. [at least annually for moderate impact systems; at least every three years for low impact systems] [functional exercises for moderate impact systems; classroom exercises/table top written tests for low impact systems] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: CP-4a. Requirement: The service provider develops test plans in accordance with NIST Special Publication 800-34 (as amended); plans are approved by the Authorizing Official prior to initiating testing.
	CP-7					CP-7 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings a. 1 hour (Availability High ) 12 hours (Availability Moderate) as defined in the contingency plan Source: DoD RMF TAG ------------------- FedRAMP Additional Requirements and Guidance: CP-7a. Requirement: The service provider defines a time period consistent with the recovery time objectives and business impact analysis.
	CP-8					CP-8 Not appropriate for DoD to define for all CSP's infrastructure or service offerings 1 hour (Availability High ) 12 hours (Availability Moderate) as defined in the contingency plan Source: DoD RMF TAG ------------------- FedRAMP Additional Requirements and Guidance: CP-8. Requirement: The service provider defines a time period consistent with the business impact analysis.
	CP-9					CP-9 a. at least weekly as defined in the contingency plan b. at least weekly and as required by system baseline configuration changes in accordance with the contingency plan c. when created or received, when updated, and as required by system baseline configuration changes in accordance with the contingency plan Source: DoD RMF TAG ------------------- CP-9a. [daily incremental; weekly full] CP-9b. [daily incremental; weekly full] CP-9c. [daily incremental; weekly full] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: CP-9. Requirement: The service provider shall determine what elements of the cloud environment require the Information System Backup control. Requirement: The service provider shall determine how Information System Backup is going to be verified and appropriate periodicity of the check. CP-9a. Requirement: The service provider maintains at least three backup copies of user-level information (at least one of which is available online) or provides an equivalent alternative. CP-9b. Requirement: The service provider maintains at least three backup copies of system-level information (at least one of which is available online) or provides an equivalent alternative. CP-9c. Requirement: The service provider maintains at least three backup copies of information system documentation including security information (at least one of which is available online) or provides an equivalent alternative.
	CP-9 (1)					CP-9 (1) at least monthly in accordance with contingency plan Source: DoD RMF TAG ------------------- CP-9 (1). [at least annually] Source: FedRAMP v2 -------------------
	CP-9 (3)					CP-9 (3) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	IA-1					IA-1 the ISSO and ISSM and others as the local organization deems appropriate; b. 1. annually b. 2. annually Source: DoD RMF TAG ------------------- IA-1.b.1 [at least every 3 years] IA-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	IA-2 (11)					IA-2 (11) DoD PKI or a technology approved by their Authorizing Official, FIPS 140-2, NIAP Certification, or NSA approval Source: DoD RMF TAG ------------------- The information system implements multifactor authentication for remote access to privileged and non-privileged accounts such that one of the factors is provided by a device separate from the system gaining access and the device meets [Assignment: organization-defined strength of mechanism requirements]. Source: FedRAMP v2 -------------------
	IA-3					IA-3 all mobile devices and network connected endpoint devices (including but not limited to: workstations, printers, servers (outside a datacenter), VoIP Phones, VTC CODECs). Source: DoD RMF TAG -------------------
	IA-3 (1)					IA-3 (1) Not appropriate for DoD to define for all CSP's services. Source: DISA Cloud Security Team Note the DoD RMF value is not valid for Cloud Computing. -------------------
	IA-4					IA-4 a. ISSM or ISSO d. 1 year for user identifiers (DoD is not going to specify value for device identifier). e. 35 days Source: DoD RMF TAG ------------------- IA-4d. [at least two years] IA-4e. [ninety days for user identifiers] (See additional requirements and guidance.) Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: IA-4e. Requirement: The service provider defines time period of inactivity for device identifiers.
	IA-4 (4)					IA-4 (4) contractor or government employee and by nationality. User identifiers will follow the same format as DoD user e-mail addresses (john.smith.ctr@army.mil or john.smith.uk@army.mil); - DoD user e-mail display names (e.g., John Smith, Contractor <john.smith.ctr@army.mil> or John Smith, United Kingdom <john.smith.uk@army.mil>); and - automated signature blocks (e.g., John Smith, Contractor, J-6K, Joint Staff or John Doe, Australia, LNO, Combatant Command). Contractors who are also foreign nationals are identified as both, e.g., john.smith.ctr.uk@army.mil Source: DoD RMF TAG ------------------- IA-4 (4). [contractors; foreign nationals] Source: FedRAMP v2 -------------------
	IA-5					IA-5 g. CAC - every 3 years, or 1 year from term of contract Password: 60 days Biometrics: every 3 years. Source: DoD RMF TAG ------------------- IA-5g. [to include sixty days for passwords] Source: FedRAMP v2 -------------------
	IA-5 (1)					IA-5 (1) As supported by the device: a. minimum of 15 Characters, 1 of each of the following character sets: - Upper-case - Lower-case - Numerics - Special characters (e.g. ~ ! @ # $ % ^ & * ( ) _ + = - ‘ [ ] / ? > <)]; b. 50% of the minimum password lenth, d. Minimum 24 hours, Maximum 60 days e. Minimum of 5 Source: DoD RMF TAG ------------------- IA-5 (1) (a). [case sensitive, minimum of twelve characters, and at least one each of upper-case letters, lower-case letters, numbers, and special characters] IA-5 (1) (b). [at least one] IA-5 (1) (d). [one day minimum, sixty day maximum] IA-5 (1) (e). [twenty four] Source: FedRAMP v2 -------------------
	IA-5 (3)					IA-5 (3) The DoD PKI CP defines the role and responsibilities of a DoD PKI Registration Authority (RA). The NSS PKI CP defines the role and responsibilities of an NSS PKI RA. The DoD PKI RA–LRA CPS defines the nomination process for DoD PKI RAs. The NSS PKI DoD RPS defines the nomination process for NSS PKI RAs for DoD. The DoD PKI CP defines DoD PKI subscribers and the authentication requirements for issuance of credentials to subscribers. The NSS PKI CP defines NSS PKI subscribers and the authentication requirements for issuance of credentials to subscribers. Source: DoD RMF TAG ------------------- IA-5 (3). [All hardware/biometric (multifactor authenticators] [in person] Source: FedRAMP v2 -------------------
	IA-5 (4)					IA-5 (4) complexity as identified in IA-5 (1) Part A Source: DoD RMF TAG ------------------- FedRAMP Additional Requirements and Guidance: IA-4e Additional FedRAMP Requirements and Guidance: Guidance: If automated mechanisms which enforce password authenticator strength at creation are not used, automated mechanisms must be used to audit strength of created password authenticators
	IA-5 (11)					IA-5 (11) DoDI 8520.03 Source: DoD RMF TAG -------------------
	IA-5 (13)					IA-5 (13) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	IA-8 (2)					IA-8 (3) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	IR-1					IR-1 a. all personnel identified as stakeholders in the incident response process, as well as the ISSM and ISSO b. (1) every 5 years b. (2) annually Source: DoD RMF TAG ------------------- IR-1.b.1 [at least every 3 years] IR-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	IR-2					IR-2 a. 30 working days c. Annually Source: DoD RMF TAG ------------------- IR-2b. [at least annually] Source: FedRAMP v2 -------------------
	IR-3					IR-3 At least every six months for high availability and at least annually for low/med availability Tests as defined in the incident response plan Source: DoD RMF TAG ------------------- IR-3. [at least annually] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: IR-3. Requirement: The service provider defines tests and/or exercises in accordance with NIST Special Publication 800-61 (as amended). Requirement: For JAB Authorization, the service provider provides test plans to the Authorizing Official (AO) annually. Requirement: Test plans are approved and accepted by the Authorizing Official prior to test commencing.
	IR-4 (3)					IR-4 (3) Classes of incidents defined in CJCSM 6510.01B Appendix A- Enclosure BActions defined in CJCSM 6510.01B Source: DoD RMF TAG -------------------
	IR-4 (7)					IR-4 (7) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	IR-4 (8)					IR-4 (8) The appropriate CIRT/CERT (such as US-CERT, DoD CERT, IC CERT) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	IR-6					IR-6 a. the timeframes specified by CJCSM 6510.01B (Table C-A-1) unless the data owner provides more restrictive guidance b. The appropriate CIRT/CERT (such as US-CERT, DoD CERT, IC CERT) Source: DoD RMF TAG ------------------- IR-6a. [US-CERT incident reporting timelines as specified in NIST Special Publication 800-61 (as amended)] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Requirement: Reports security incident information according to FedRAMP Incident Communications Procedure.
	IR-6 (2)					IR-6 (2) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	IR-8					IR-8 a. at a minimum, the ISSM and ISSO b.all stakeholders identified in the incident response plan c. at least annually (incorporating lessons learned from past incidents) e. all stakeholders identified in the incident response plan, not later than 30 days after the change is made Source: DoD RMF TAG ------------------- IR-8c. [at least annually] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: IR-8(b) Additional FedRAMP Requirements and Guidance: The service provider defines a list of incident response personnel (identified by name and/or by role) and organizational elements. The incident response list includes designated FedRAMP personnel. IR-8(e) Additional FedRAMP Requirements and Guidance: The service provider defines a list of incident response personnel (identified by name and/or by role) and organizational elements. The incident response list includes designated FedRAMP personnel.
	IR-9					IR-9 b. at a minimum, the OCA, the information owner/originator, the ISSM, the activity security manager, and the responsible computer incident response center f. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	IR-9 (1)					IR-9 (1) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	IR-9 (2)					IR-9 (2) Annually Source: DoD RMF TAG -------------------
	IR-9 (3)					IR-9 (3) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	IR-9 (4)					IR-9 (4) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	MA-1					MA-1 a. all stakeholders identified in the maintenance policy b. (1) every 5 years b. (2) annually Source: DoD RMF TAG ------------------- MA-1.b.1 [at least every 3 years] MA-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	MA-2					MA-2 c. Not appropriate for DoD to define for all CSP's infrastructure or service offerings f. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	MA-3 (3)					MA-3 (3) d. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- MA-3 (3) (d). [the information owner explicitly authorizing removal of the equipment from the facility] Source: FedRAMP v2 -------------------
	MA-6					MA-6 Not appropriate for DoD to define for all CSP's infrastructure or service offerings Within 24 hours (Low and Moderate Availability) or immediately upon failure for (High Availability) Source: DoD RMF TAG -------------------
	MP-1					MP-1 a. all users b. (1) every 5 years b. (2) annually Source: DoD RMF TAG ------------------- MP-1.b.1 [at least every 3 years] MP-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	MP-2					MP-2 All types of digital and/or non-digital media containing information not cleared for public release Not appropriate for DoD to define for all CSP's infrastructure or service offerings, but types of media must be identified IAW DoD 5200.01-M, CTO 10-133, and CTO 08-001 Source: DoD RMF TAG -------------------
	MP-3					MP-3 b. nothing unless otherwise exempted by DoDI 5200.01 and DoDM 5200.01 Vol 1-4 b. all areas unless otherwise exempted by DoDI 5200.01 and DoDM 5200.01 Vol 1-4 Source: DoD RMF TAG ------------------- MP-3b. [no removable media types] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: MP-3b. Guidance: Second parameter not-applicable
	MP-4					MP-4 a (1). all digital and non-digital media containing sensitive, controlled, and/or classified information. a (2). areas approved for processing or storing data IAW the sensitivity and/or classification level of the information contained on/within the media. Source: DoD RMF TAG ------------------- MP-4a. [all types of digital and non-digital media with sensitive information] within [FedRAMP Assignment: see additional FedRAMP requirements and guidance]; Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: MP-4a Additional FedRAMP Requirements and Guidance: Requirement: The service provider defines controlled areas within facilities where the information and information system reside.
	MP-5					MP-5 a. all digital and non-digital media containing sensitive, controlled, and/or classified information. a. DoDI 5200.1R and other organizationally defined security safeguards. Source: DoD RMF TAG ------------------- MP-5a. [all media with sensitive information] [prior to leaving secure/controlled environment: for digital media, encryption using a FIPS 140-2 validated encryption module; for non-digital media, secured in locked container] Source: FedRAMP v2 -------------------
	MP-6					MP-6 a. all media a. techniques and procedures IAW NIST SP 800-88 Source: DoD RMF TAG ------------------- The organization: a. Sanitizes [Assignment: organization-defined information system media] prior to disposal, release out of organizational control, or release for reuse using [Assignment: organization-defined sanitization techniques and procedures] in accordance with applicable federal and organizational standards and policies; and b. Employs sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information. Source: FedRAMP v2 -------------------
	MP-6 (2)					MP-6 (2) every 180 days. Source: DoD RMF TAG ------------------- [At least annually] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Guidance: Equipment and procedures may be tested or validated for effectiveness
	MP-7					MP-7 Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	PE-1					PE-1 a. all personnel b. (1) annually b. (2) annually Source: DoD RMF TAG ------------------- PE-1.b.1 [at least every 3 years] PE-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	PE-2					PE-2 c. every 90 days Source: DoD RMF TAG ------------------- PE-2c. [at least annually] Source: FedRAMP v2 -------------------
	PE-3					PE-3 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings a. (2) Not appropriate for DoD to define for all CSP's infrastructure or service offerings b. Not appropriate for DoD to define for all CSP's infrastructure or service offerings c. Not appropriate for DoD to define for all CSP's infrastructure or service offerings d. Not appropriate for DoD to define for all CSP's infrastructure or service offerings f. minimally keys or any other physical token used to gain access f. annually g. as required by security relevant events Source: DoD RMF TAG ------------------- PE-3a.2 [CSP defined physical access control systems/devices AND guards] PE-3d. [in all circumstances within restricted access area where the information system resides] PE-3f. [at least annually] PE-3g. [at least annually] Source: FedRAMP v2 -------------------
	PE-3 (1)					PE-3 (1) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	PE-4					PE-4 Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	PE-6					PE-6 b. every 30 days b. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- PE-6b.[at least monthly] Source: FedRAMP v2 -------------------
	PE-8					PE-8 a. at least one year b. every 30 days Source: DoD RMF TAG ------------------- PE-8a [for a minimum of one year] PE-8b. [at least monthly] Source: FedRAMP v2 -------------------
	PE-10					PE-10 While the DoD value shown below is common industry practice it is not appropriate for DoD to define for all CSP's infrastructure or service offerings  b. or near more than one egress point of the IT area and it is labeled and protected by a cover to prevent accidental shut-off Source: DoD RMF TAG -------------------
	PE-13 (2)					PE-13 (2) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	PE-14					PE-14 NOTE: the DoD value shown for PE-14 is equivalent to the FedRAMP value and represents industry standards. It provides an evaluation benchmark. While this value is not appropriate for DoD to define for all CSP's infrastructure or service offerings, DoD CSPs must follow the DoD value while Commercial CSPs may use the FedRAMP value as follows:  PE-14a. [consistent with American Society of Heating, Refrigerating and Air-conditioning Engineers (ASHRAE) document entitled Thermal Guidelines for Data Processing Environments] PE-14b. [continuously] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: PE-14a. Requirements: The service provider measures temperature at server inlets and humidity levels by dew point.  DoD CSP requirement:  a. For commercial grade information systems: 64.4 – 80.6 degrees F; 45% – 60% Relative Humidity; Dew Point 41.9 ° – 59°F; measured at the air intake inlet of the IT equipment casing; For other systems, levels within manufacturer specifications b. Continuously unless manufacturer specifications allow for a wide enough tolerance that control is not required Source: DoD RMF TAG -------------------
	PE-16					PE-16 All system components Source: DoD RMF TAG ------------------- PE-16. [all information system components] Source: FedRAMP v2 -------------------
	PE-17					PE-17 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings but must include all applicable building and safety codes for the information system's environment Source: DoD RMF TAG -------------------
	PL-1					PL-1 a. all personnel b. (1) every 5 years b. (2) annually Source: DoD RMF TAG ------------------- PL-1.b.1 [at least every 3 years] PL-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	PL-2					PL-2 b. at a minimum, the ISSO, ISSM and SCA c. annually Source: DoD RMF TAG ------------------- PL-2c. [at least annually] Source: FedRAMP v2 -------------------
	PL-2 (3)					PL-2 (3) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	PL-4					PL-4 c. annually Source: DoD RMF TAG ------------------- PL-4c. [At least every 3 years] Source: FedRAMP v2 -------------------
	PL-8					PL-8 b. annually Source: DoD RMF TAG ------------------- PL-8b. [At least annually] Source: FedRAMP v2 -------------------
	PL-8 (1)					PL-8 (1) a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	PS-1					PS-1 a. all personnel b. (1) every 5 years b (2) annually Source: DoD RMF TAG ------------------- PS-1.b.1 [at least every 3 years] PS-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	PS-2					PS-2 c. Annually Source: DoD RMF TAG ------------------- PS-2c. [at least every three years] Source: FedRAMP v2 -------------------
	PS-3					PS-3 b. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- PS-3b. [for national security clearances; a reinvestigation is required during the 5th year for top secret security clearance, the 10th year for secret security clearance, and 15th year for confidential security clearance. For moderate risk law enforcement and high impact public trust level, a reinvestigation is required during the 5th year. There is no reinvestigation for other moderate risk positions or any low risk positions] Source: FedRAMP v2 -------------------
	PS-3 (3)					PS-3 (3) b. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- PS-3 (3)(b). [personnel screening criteria – as required by specific information] Source: FedRAMP v2 -------------------
	PS-4					PS-4 a. immediately c. Not appropriate for DoD to define for all CSP's infrastructure or service offerings f. at a minimum, the ISSO and personnel responsible for revoking credentials f. immediately or within 24 hours Source: DoD RMF TAG ------------------- PS-4.a. [same day] Source: FedRAMP v2 -------------------
	PS-5					PS-5 b. actions to ensure all system accesses no longer required are removed b. immediately d. at a minimum, the ISSO and personnel responsible for transferring credentials d. 24 hours Source: DoD RMF TAG ------------------- PS-5. [within five days of the formal transfer action (DoD 24 hours)] Source: FedRAMP v2 -------------------
	PS-6					PS-6 b. annually c (2) when there is a change to the user's level of access Source: DoD RMF TAG ------------------- PS-6b. [at least annually] PS-6c.2. [at least annually] Source: FedRAMP v2 -------------------
	PS-7					PS-7 d. at a minimum, the ISSO and personnel responsible for transferring credentials d. immediately Source: DoD RMF TAG ------------------- PS-7d. organization-defined time period – same day Source: FedRAMP v2 -------------------
	PS-8					PS-8 b. at a minimum, the ISSO b. immediately Source: DoD RMF TAG -------------------
	RA-1					RA-1 a. at a minimum, the ISSM and ISSO b. (1) every five years b. (2) annually Source: DoD RMF TAG ------------------- RA-1.b.1 [at least every 3 years] RA-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	RA-3					RA-3 b. a risk assessment report c. upon re-accreditation d. ISSM, ISSO, AO, and PM e. upon re-accreditation Source: DoD RMF TAG ------------------- RA-3b. [security assessment report] RA-3c. [at least every three years or when a significant change occurs] RA-3e. [at least every three years or when a significant change occurs] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Guidance: Significant change is defined in NIST Special Publication 800-37 Revision 1, Appendix F. RA-3d. Requirement: to include the Authorizing Official; for JAB authorizations to include FedRAMP
