Control	Low	Moderate	High	PHI	Parameters
MP-6		+GVR	+GVR	+VR	Justification to Select: Properly sanitizing media that contains PII prior to disposal or release protects PII from unauthorized use and disclosure. Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: DM-2. Moderate and High PII Confidentiality Impact Level Parameter Value: a. … digital media that contains PII…… … NSA-approved or FIPS-validated media sanitization techniques or procedures… PHI Parameter Value: a. … digital media that contains PHI…… … NSA-approved or FIPS-validated media sanitization techniques or procedures… Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g.; OMB M-07-16, Att. 1, C. PHI Regulatory/Statutory References: 45 C.F.R. §164.310(d)(1); 45 C.F.R. §164.310(d)(2)(i);45 C.F.R. §164.312(d)(2)(ii)
MP-6 (1)	+GR	+GR	+GR	+GR	Justification to Select: Tracking, documenting, and verifying media sanitization and disposal actions for media that contains PII reduces the risk of unauthorized disclosure of PII and PHI, and increases accountability. Low, Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: DM-2. PHI Supplemental Guidance: Related Control: DM-2. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g.; OMB M-07-16, Att. 1, C. PHI Regulatory/Statutory References: 45 C.F.R. §164.310(d)(1); 45 C.F.R. §164.310(d)(2)(i); 45 C.F.R. §164.312(d)(2)(ii)
MP-6 (8)		+GR	+GR		Justification to Select: If a smart device containing PII is lost or stolen, most such devices now permit the organization to specify either remote memory and data wipe when the smart device is reported lost or stolen, and/or implementing a limited number of unsuccessful login attempts before the smart device wipes its memory and clears its contents. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Organizations shall consider the use of this control for moderate and high PII confidentiality impact level information on devices such as mobile devices like an iPad or other smart device. If your organization permits use of personal smart devices (for example, BYOD), the organization must evaluate methods to ensure this control is enforced or that compensating controls are in place. Related Controls: DM-2, SE-2. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g.
MP-7		+GVR	+GVR		Justification to Select: Personally owned mobile devices and other personal media exist outside the boundaries of organization owned information systems, which limits the ability of organizations to control how PII is handled. Therefore controlling what may be placed on a personally owned mobile device reduces organizational risk. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: This control applies to devices containing PII, particularly portable storage and mobile devices. Related Control: SE-2. Moderate and High PII Confidentiality Impact Level Parameter Value: … restricts… … portable storage and mobile devices… … information systems and networks containing PII, without… … device ownership, media sanitization and encryption controls… Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g.
MP-7 (1)		+R	+R		Justification to Select: The ability to identify the owner of removable media that stores PII assigns accountability and responsibility managing the media and responding to a privacy breach. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 4
MP-8 (3)		+VR	+VR	+GVR	Justification to Select: Prior to public release of any media containing PII or PHI, that media must be reviewed to ensure that the PII and PHI have been appropriately redacted or de-identified and any file containing PII or PHI on that media is appropriately sanitized so that the PII or PHI is not recoverable or re-identifiable. PHI Supplemental Guidance: Downgrading of media containing PHI must implement HIPAA de-identification procedures to ensure PHI may not be re-identified. Moderate and High PII Confidentiality Impact Level Parameter Values: … PII… PHI Parameter Values: … PHI… Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); 5 U.S.C. §552 (b)(6); OMB Circular A-130, 7.g. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.514
PE-1				+R	Justification to Select: Sensitivity of PII may impact the necessary physical and environmental controls. Physical controls are important for protecting PII against unauthorized access, use, and disclosure. Environmental controls can be critical when PII has high availability requirements (e.g., core mission capabilities of an organization rely on consistent and frequent access to PII). PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.310(a)(1); 45 C.F.R. §164.310(a)(2)(ii); 45 C.F.R. §164.310(a)(2)(iii)
PE-2	+R	+R	+R	+GR	Justification to Select: Maintaining a current list of personnel that are authorized to access facilities where PII is located protects PII from unauthorized access. PHI Supplementary Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.310(a)(2)(iii)
PE-2 (1)				+GR	Justification to Select: Implementing role-based access controls for physical access provides a further level of granularity in governing who can access facilities, and even certain parts of facilities, that store and process PHI. PHI Supplementary Guidance: The authorization of physical access to the facility should include considerations of whether the person needs access to PHI and whether such access is permitted under the HIPAA Privacy Rule. PHI Regulatory/Statutory References: 45 C.F.R. §164.310(a)(1); 45 C.F.R. §164.310(a)(2)(iii)
PE-3	+R	+R	+R	+R	Justification for Selection: Employing physical access controls that limit access to a facility that are commensurate with the level of sensitivity of the PII processed in a facility protect the PII from unauthorized access, use, and disclosure. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g. PHI References: 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.310(a)(1); 45 C.F.R. §164.310(a)(2)(iii); 45 C.F.R. §164.310(b); 45 C.F.R. §164.310(c)
PE-4				+GR	Justification for Selection: Protecting physical access to transmission medium protects the confidentiality of PII by protecting it from eavesdropping, the integrity of PII by protecting it from modification (when unencrypted), and protects the availability of PII by helping to prevent accidental or intentional damage or disruption to transmission lines. PHI Supplementary Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SC7(14), SI-12. PHI References: 45 C.F.R. §164.310(a)(1); 45 C.F.R. §164.310(a)(2)(ii); 45 C.F.R. §164.310(c)
PE-5	+GR	+GR	+GR	+GR	Justification for Selection: Controlling physical access to output devices, such as monitors, printers, and audio devices, protects PII from unauthorized access. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: The access controls applied to output devices should be commensurate with the PII confidentiality impact level. For example, human resource information is only sent to printers located in secured locations such as a locked suite. PHI Supplemental Guidance: Related Controls: RA-3, SI-12. Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(e)(10); OMB Circular A-130, 7.g. PHI References: 45 C.F.R. §164.310(a)(1); 45 C.F.R. §164.310(b); 45 C.F.R. §164.310(c)
PE-6				+GR	Justification for Selection: Monitoring physical security incidents could identify PII incidents or breaches. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. PHI Reference: 45 C.F.R. §164.308(a)(6)(i); 45 C.F.R. §164.310(a)(2)(iii)
PE-8				+GR	Justification for Selection: Visitor access records provide a history of who had access to facilities in the event of a privacy incident or breach. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. When implemented, records should be retained in accordance with the organization's records retention schedule. Related Controls: RA-3, SI-12. PHI Reference: 45 C.F.R. §164.310(a)(2)(iii)
PE-17	+GR	+GR	+GR		Justification for Selection: PII collected, stored, and processed at alternate worksite is subject to the same laws, regulations, and policies as PII handled at "non-alternate facilities." Adequate security and privacy controls commensurate with the risk to PII at the alternate work site must be implemented. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: PII collected, stored, and processed at alternate worksite is subject to the same laws, regulations, and policies as PII handled at "non-alternate facilities." Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory References: OMB M-07-16, Att. 1 and Att. 4; OMB M-11-27
PE-18			+GR	+GR	Justification for Selection: Organizations must consider the location and placement of information system components that either store or display PII and place components in a manner to decrease the risk of unauthorized disclosure. High PII Confidentiality Impact Level Supplemental Guidance: This control is required to limit intentional and unintentional disclosures of PII in violation of the Privacy Act. One example of an information system component requiring this control would be monitors and ensuring proper placement of the monitors will prevent unauthorized viewing. Another example of an information system component would be servers and disk arrays and location would include ensuring these are in a secured space. PHI Supplementary Guidance: This control is required to limit intentional and unintentional disclosures of PHI in violation of the HIPAA Privacy and Security Rules. High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(e)(10) PHI References: 45 C.F.R. §164.308(a)(3)(i); 45 C.F.R. §164.310(c)
PL-1				+ER	Justification for Selection: Security planning addresses the privacy requirements for confidentiality, availability, and integrity for the organization and individual information system(s). PHI Control Extension: The organization retains the policies and procedures in written form (which may be electronic) for 6 years from the date of its creation or the date when it was last in effect, whichever is later. The organization makes the documentation available to those persons responsible for implementing the procedures to which the document pertains. PHI References: 45 C.F.R. §164.316(a); 45 C.F.R. §164.316(b)(1)(i); 45 C.F.R. §164.316(b)(2)(i); 45 C.F.R. §164.316(b)(2)(ii)
PL-2	+EGR	+EGR	+EGR	+R	Justification for Selection: The system security plan (SSP) is necessary for the information system to be authorized. As the security controls section of a privacy impact assessment or other privacy documentation may not provide sufficient details to determine which controls have been implemented, the SSP and plan of action and milestones (POAM, see PM-4) are the best locations to address privacy related security controls. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: The system security plan (SSP) must provide the security category and the PII confidentiality impact level of the system (as described in NIST SP 800-122), describe relationships with, and data flows of, PII to other systems, provides an overview of security and privacy requirements for the system, including the security controls within the Privacy Overlays. The SSP must define the boundary within the system where PII is stored, processed, and/or maintained. The person responsible for meeting information system privacy requirements must provide input to the SSP. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: PM-4. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: E-Government Act of 2002 (Pub. L. No. 107-347) § 208; OMB M-03-22; OMB M-07-16 Att. 1, A.2. PHI References: 45 C.F.R. §164.306(a); 45 C.F.R. §164.308(a)(1)(i); 45 C.F.R. §164.310; 45 C.F.R. §164.310(a)(2)(ii); 45 C.F.R. §164.316(a); 45 C.F.R. §164.316(b)(1)(i); 45 C.F.R. §164.316(b)(2)(ii)
PL-4	+EGR	+EGR	+EGR		Justification for Selection: Rules of behavior govern expectations of system users for systems that handle PII. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Pursuant to OMB M-07-16, organizational rules of behavior must include a policy outlining the rules of behavior to safeguard personally identifiable information (PII) and identifying consequences and corrective actions for failure to follow these rules. Consequences should be commensurate with level of responsibility and type of PII involved. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-5. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9); OMB M-07-16, Att. 1, A.2. and Att. 4
PL-8	+GR	+GR	+GR		Justification for Selection: The information security architecture identifies security and privacy controls necessary to support privacy requirements. The Senior Agency Official for Privacy (SAOP) or Chief Privacy Officer (CPO) are the best resource for identifying privacy requirements and privacy controls. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-7. Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(10); E-Government Act of 2002 (Pub. L. 107-347) § 208; OMB M-03- 22
PS-1	+ER	+ER	+ER	+R	Justification for Selection: Roles that require access to certain types of PII may require additional personnel security measures beyond those applied to the general workforce of an organization. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: The personnel security policies and procedures shall address the different levels of background investigations, or other personnel security requirements, necessary to access different levels of PII. Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 4; OMB Circular A-130, 7.g. and 8.a.1(f) PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(ii)(B); 45 C.F.R. §164.308(a)(3)(ii)(C); 45 C.F.R. §164.316(a); 45 C.F.R. §164.316(b)(1)(i); 45 C.F.R. §164.316(b)(2)(ii)
PS-2	+ER	+ER	+ER	+GR	Justification for Selection: Position risk designations, for different levels of access to PII, should be commensurate with the risks associated with the PII confidentiality impact level. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Whether a member of the workforce will be working with PII is a factor in determining the screening criteria for working in the position. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory References: OMB M-06-16; OMB M-07-16Att. 4 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(3)(ii)(B)
PS-3	+ER	+ER	+ER	+GR	Justification for Selection: Screening individuals who are provided access to PII, and rescreening as deemed appropriate by the organization, reduces risk. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Individuals that work with PII are screened prior to being provided access to the PII and re-screened as determined by the organization. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. Low, Moderate. High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 C.F.R. 731.106 PHI Statutory References: 45 C.F.R. §164.308(a)(3)(ii)(B)
PS-3 (3)	+GVR	+GVR	+GVR	+GR	Justification for Selection: Access to PII and PHI requires both a valid need to know as documented by an access authorization request, and requires a background investigation (or appropriate screening) to ensure the individual being provided access is suitable. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-5. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. Low, Moderate, and High PII Confidentiality Impact Level Parameter Values: … organization defined personnel screening criteria commensurate with increasing level of risk and responsibility for access to, or use of, different levels of PII … Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 C.F.R. §731.106 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(3)(ii)(B)
PS-4	+GR	+GR	+GR	+GR	Justification for Selection: This control governs termination procedures for access to PII and other information Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: PL-4. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(b)(1); OMB Circular A-130, 7.g. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(3)(ii)(C)
PS-5	+ER	+ER	+ER	+GR	Justification for Selection: When personnel are reassigned or transferred, their access to PII must be reviewed to determine whether and how their access permissions should change. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Individuals that work with PII are screened prior to being provided access to the PII and re-screened as determined by the organization. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(b)(1) and (e)(10) PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(3)(ii)(B)
PS-6	+GR	+GR	+GR	+R	Justification for Selection: Access agreement documentation notifies users and organizations of their respective responsibilities regarding authorization for access to, rules of behavior, and handling of PII. This documentation provides a legal mechanism for holding individuals accountable for their actions. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Examples of access agreement documents required for access to PII may include access authorization requests, nondisclosure agreements, acceptable use agreements, privacy training and awareness, and rules of behavior. Related Controls: AC-2, PS-3, AR-5,PL-4. Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 1, A.2. and Att. 4 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(3)(ii)(B); 45 C.F.R. §164.308(a)
PS-7	+GR	+GR	+GR	+R	Justification for Selection: This control ensures that third-party service providers that will have access to PII are held accountable in the same way the organizational personnel are. Low, Moderate, High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-3. Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(m); OMB Circular A-130, 7.g. and 8.a.1(f), FAR Parts 24.1, 39.105, and 52.224-1&2 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(4)(ii)(B); 45 C.F.R. §164.308(b)(1); 45 C.F.R. §164.314(a)
PS-8	+EGR	+EGR	+EGR	+R	Justification for Selection: Applying clear and consistent sanctions for mishandling of PII demonstrates a degree of organizational accountability for meeting applicable privacy requirements. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: The organization employs a formal sanctions process for individuals failing to comply with established privacy policies and procedures. Low, Moderate, High PII Confidentiality Impact Level Supplemental Guidance: If the personnel sanctions are associated with the loss, theft, or compromise of PII, additional care must be taken to prevent further privacy breach. When providing notice of sanctions, do not provide the PII involved in the incident to anyone without an explicit need to know. Unless the individual needs the specific PII elements breached to perform their job function, the individual does not need to know the PII. Instead, provide characterization of the type(s) of PII breached, e.g., provide "Full Name" instead of providing "John Doe," or "Blood Type" instead of "A positive." Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9); OMB M-07-16, Att. 2, A.2. and Att. 4 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(1)(ii)(C)
RA-1	+EGR	+EGR	+EGR	+R	Justification for Selection: Formal risk assessment processes and policies provide the foundation for implementation of the security controls required for protecting PII. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Organization risk assessment policy and procedures shall incorporate the requirements to conduct information system privacy risk management processes across the life cycle of an information system collecting, using, maintaining, and/or disseminating PII. Related Control: AR-2; PM-2. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: The privacy office (SAOP/CPO) should be consulted with in developing risk assessment policy and procedures to cover information systems containing PII. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB Circular A-130, 7.g. and 8.b.(3)(b); OMB M-07-16 Att. 1, A.2.; OMB M-05-08 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(i); 45 C.F.R. §164.316(a)
RA-2	+ER	+ER	+ER	+R	Justification for Selection: A determination of security categorization is based in part on whether the information is PII, or the system contains PII, and is a fundamental determination for implementing security controls. See Section 2.5 above. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Involve the SAOP, the CPO, or their designee when conducting the security categorization process for information systems containing PII or PHI. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 1, A.2 ; OMB M-06-16; OMB M-14-04 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(1)(ii)(A); 45 C.F.R. §164.308(a)(1)(ii)(B); 45 C.F.R. §164.308(a)(7)(ii)(E)
RA-3	+EGVR	+EGVR	+EGVR	+GVR	Justification for Selection: A standardized risk assessment process should include a consideration of risks associated with the collection, maintenance, and use of PII. Effective implementation of privacy risk management processes requires both organizational and information system processes across the life cycle of the mission, business processes, and information system. An evaluation of privacy risk for an information system benefits an organization and the individuals whose PII are included by enabling the organization to identify, evaluate, and manage the privacy risks for the PII in that system. The content of the privacy risk assessment performed under this control should be addressed in concert with the privacy risk evaluation conducted through the internal risk management process to ensure privacy risks are identified, evaluated, and managed in information systems containing PII. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Include an assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of PII in the related risk assessment documentation. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-2 PHI Supplemental Guidance: The Department of Health and Human Services has issued Final Guidance on Risk Analysis (Assessment) under the HIPAA Security Rule (see http://www.hhs.gov/ocr/privacy/hipaa/administrative/securityrule/rafinalguidancepdf.pdf) Low, Moderate, and High PII Confidentiality Impact Level Parameter Values: b. … an evaluation of risks associated with the potential impact of loss of the PII must be identified within the overall risk assessment. All risk assessment documentation must reflect these findings… PHI Parameter Values: b. … a HIPAA Risk Analysis, and associated risks to PHI must be identified within the overall risk assessment. All risk assessment documentation must reflect these findings. All HIPAA Risk Analysis documentation must be maintained for 6 years from the date of creation or date it was last in effect – whichever is later… Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB Circular A-130, 7.g. and 8.b.(3)(b); M-07-16, Att. 1, A.2; M-06-16; M-05-08; PHI References: 45 C.F.R. §164.308(a)(1)(ii)(A); 45 C.F.R. §164.308(a)(1)(ii)(B); 45 C.F.R. §164.316(a)
SA-2	+ER	+ER	+ER		Justification for Selection: Resources must be considered for the protection of privacy and confidentiality when budgeting for an information system. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: As part of the capital planning and investment control process, the organization must determine, document, and allocate resources required to protect the privacy and confidentiality of PII in the information system. Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory References: E-Government Act of 2002 (Pub. L. No. 107-347), § §208; OMB Circular A-130, 7.g. and 8.b(3)(b)
SA-3	+GR	+GR	+GR		Justification for Selection: Managing an information system through a defined lifecycle process helps to ensure that privacy controls are appropriately considered from the initial system conception and requirements development, to verification of implemented requirements, and through decommissioning. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: To ensure that privacy and security controls are appropriately considered during each phase of the System Development Life Cycle (SDLC), both the security and privacy offices should have a clear understanding of the requirements to protect PII. The privacy office should participate throughout the SDLC. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB Circular A-130
SA-4	+EGR	+EGR	+EGR	+ER	Justification for Selection: Contracts for information systems, components, or services must meet the privacy requirements of the Federal government and it is much easier, and cheaper, to build privacy into a system at the acquisition phase of the life cycle than it is to bolt it on after the system is already acquired. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: When acquiring information systems, components, or services used to store, process, or transmit PII, ensure the following, in consultation with the privacy office, are included in the acquisition contract: h. List of security and privacy controls from the Privacy Overlays necessary to ensure protection of PII and, if appropriate, enforce applicable privacy requirements. i. Privacy requirements set forth in Appendix J of NIST SP 800-53, Rev. 4, including privacy training and awareness, and rules of behavior. j. Privacy functional requirements, i.e., functional requirements specific to privacy. k. FAR Clauses per FAR Part 24 and Part 39.105, and any other organization specific privacy clause PHI Control Extension: When acquiring information systems, components, or services used to store, process, or transmit PHI, in addition to the requirements for PII, ensure the following in consultation with the privacy office: l. Necessary memorandum of understanding, memorandum of agreement, or other data sharing agreement are obtained. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-7. Low, Moderate, High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(m) and (e)(10); OMB Circular A-130, 7.g. and Appendix 1; EGovernment Act of 2002 (I; Pub. L. No. 107-347) §208; Federal Information Management Security Act (Pub. L. No. 107-347); FAR Part 24 and 39.105 PHI Reference: 45 C.F.R. §164.314(a)
SA-8	+GR	+GR	+GR		Justification for Selection: Considering the privacy requirements of an information system during the design phase of the life cycle ensures the most cost effective and efficient implementation of security and privacy controls. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: When applying information system security engineering principles in the specification, design, development, implementation, and modification of an information system containing PII, the organization should apply privacy-enhanced system design and development principles described in NIST SP 800-53, Rev. 4, Appendix J. Related Control: AR-7. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: E-Government Act of 2002 (Pub. L. 107-347) § 208; OMB Circular A-130 7.g.; OMB M-05-08; OMB M-03-22
SA-9				+ER	Justification for Selection: External information system service providers must meet the same privacy requirements as applied to internal services so that PHI has the equivalent level of protection regardless of where it is. PHI Subset Control Extension: The information security requirements and controls are documented through a written contract, or other arrangement that meets the requirements of 45 C.F.R. §164.314(a). This guidance is not intended to cover the acquisition of services of all third party providers, only those who rise to the level of a business associate of a covered entity. PHI Regulatory/Statutory References: 45 C.F.R. §164.308(b)(1); 45 C.F.R. §164.314(a)
SA-9 (5)	+EGR	+EGR	+EGR		Justification for Selection: Other countries have different requirements for the protection of PII of either their own citizens or for transfer of PII across national borders. When selecting a service provider, the location for storage, maintenance, or processing must be considered. Some organizations, such as European Union member states, have very stringent data transfer restriction requirements and your organization may have a treaty or other agreement for data exchange and/or protection. Consult with your legal counsel or your organization's liaison to the Department of State. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: If the service provider will be maintaining PII outside of the United States the organization must evaluate the legal environment of the country in which the information will be maintained to ensure US equities are protected. If the service provider is located in the US and the PII is about non-US Citizens, then the organization must address the data transfer requirements of the country whose citizens PII is collected or maintained and must ensure that country's privacy/data protection legal requirements are met. Coordinate with your organization's legal counsel, privacy office, and Department of State representative in meeting this requirement. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AP-1, AP-2, UL-2. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB Circular A-130, 7.g., 9.b and 9.c.
SA-11		+EGR	+EGR		Justification for Selection: Testing is a key method to ensure privacy controls are implemented. Including privacy controls in the security assessment plan ensures they are tested. Moderate and High PII Confidentiality Impact Level Control Extension: For information systems containing PII, the organization requires the developer of the information system, system component, or information system service to: a. Create and implement a security assessment plan that includes assessment of privacy controls. b. In testing: 1. minimize to the use of PII to the maximum extent practicable. 2. only conduct testing with actual PII if a formal MOA, MOU, or data exchange agreement has been established between the data owner of the PII and the entity developing/testing the information system including how loss, theft, or compromise (i.e., breach) of PII is to be handled. 3. de-identify or anonymize PII to the maximum extent practicable. 4. coordinate use of PII with the privacy office before conducting any testing. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-7. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(10); E-Government Act of 2002 (Pub. L. No. 107-347), §208, and Title III; OMB Circular A-130, 7.g.; OMB M-03-22
SA-11 (5)			+ER		Justification for Selection: To implement penetration testing identified in CA-8. High PII Confidentiality Impact Level Control Extension: If the system contains PII, then the penetration testing requirements of CA-8, as specified above in this overlay, shall be applied. High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g. and 8.b.(2)(c)(iii)
SA-15 (9)		+EGR	+EGR		Justification for Selection: Preproduction environments may not be as formally controlled as production environments. Use of PII in a preproduction environment increases risk to the organization because the preproduction environment may not be as secure as the production environment. Moderate and High PII Confidentiality Impact Level Control Extension: Before use of live data containing PII in a preproduction environment, the organization shall: a. Implement policies and procedures in coordination with the privacy office for evaluating the risk of use of PII in a preproduction environment. b. Protect, per NIST SP 800-122, the PII within the preproduction environment at the same level as in the production environment. c. Use anonymized data substitution (See NIST SP 800-122, Section 4.2.4) if possible. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: If PII will be provided to a third-party during testing, the organization will need a formal MOA, MOU, or data exchange agreement before providing access to that third-party. Such agreement will at a minimum include how loss, theft, or compromise of PII is to be handled. Related Controls: SA-9, DM-1(1), DM-3, UL-2. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(b) and (e)(10); NIST SP 800-122
