Control	TITLE	Confidentiality_Low	Confidentiality_Moderate	Confidentiality_High	Integrity_Low	Integrity_Moderate	Integrity_High	Availability_Low	Availability_Moderate	Availability_High	ID	C	I	A	Justification for NSS Baseline	Potentially Common or Inheritable	Parameters
IR-7	Incident Response Assistance	X	X	X	X	X	X	X	X	X	IR-7	X	X	X		X	
IR-7 (1)	Incident Response Assistance | Automation Support For Availability of Information / Support		X	X		X	X		X	X	IR-7 (1)	X	X	X		X	
IR-7 (2)	Incident Response Assistance | Coordination With External Providers	+	+	+	+	+	+	+	+	+	IR-7 (2)	X	X	X	APT. Insider Threat. In support of and/or consistent with IR-4 (4).	X	
IR-8	Incident Response Plan	X	X	X	X	X	X	X	X	X	IR-8	X	X	X		X	a.8. [Assignment: organization-defined personnel or roles]; b. [Assignment: organization-defined incident response personnel  (identified by name and/or by role) and organizational elements]; c. [Assignment: organization-defined frequency]; e. [Assignment: organization-defined incident response personnel  (identified by name and/or by role) and organizational elements]
IR-9	Information Spillage Response	+	+	+							IR-9	X			NSS Best Practice.		
IR-9 (1)	Information Spillage Response | Responsible Personnel	+	+	+							IR-9 (1)	X			NSS Best Practice.		
IR-9 (2)	Information Spillage Response | Training	+	+	+							IR-9 (2)	X			NSS Best Practice.		[Assignment: organization-defined frequency]
IR-9 (3)	Information Spillage Response | Post-Spill Operations								+	+	IR-9 (3)			X	NSS Best Practice.		
IR-9 (4)	Information Spillage Response | Exposure to Unauthorized Personnel	+	+	+							IR-9 (4)	X			NSS Best Practice.		
IR-10	Integrated Information Security Cell		+	+		+	+		+	+	IR-10	X	X	X	APT. NSS Best Practice.		
MA-1	System Maintenance Policy and Procedures	X	X	X	X	X	X	X	X	X	MA-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; 2. [Assignment: organization-defined frequency]
MA-2	Controlled Maintenance	X	X	X	X	X	X	X	X	X	MA-2	X	X	X			
MA-2 (1)	Controlled Maintenance | Record Content	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	MA-2 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
MA-2 (2)	Controlled Maintenance | Automated Maintenance Activities			X			X			X	MA-2 (2)	X	X	X			
MA-3	Maintenance Tools				+	X	X				MA-3		X		APT. Insider Threat.	X	
MA-3 (1)	Maintenance Tools | Inspect Tools					X	X				MA-3 (1)		X			X	
MA-3 (2)	Maintenance Tools | Inspect Media				+	X	X				MA-3 (2)		X		APT. Insider Threat. Issuance: CNSSP No. 26	X	
MA-3 (3)	Maintenance Tools | Prevent Unauthorized Removal	+	+	X							MA-3 (3)	X			NSS Best Practice.		
MA-3 (4)	Maintenance Tools | Restricted Tool Use										MA-3 (4)		X				
MA-4	Nonlocal Maintenance				X	X	X				MA-4		X				
MA-4 (1)	Nonlocal Maintenance | Auditing and Review					+	+				MA-4 (1)		X		NSS Best Practice. Insider Threat.	X	(a) [Assignment: organization-defined audit events]
MA-4 (2)	Nonlocal Maintenance | Document Nonlocal Maintenance					X	X				MA-4 (2)		X				
MA-4 (3)	Nonlocal Maintenance | Comparable Security / Sanitization	+	+	X	+	+	X				MA-4 (3)	X	X		APT. NSS Best Practice.		
MA-4 (4)	Nonlocal Maintenance | Authentication / Separation of Maintenance Sessions										MA-4 (4)	X	X				
MA-4 (5)	Nonlocal Maintenance | Approvals and Notifications										MA-4 (5)		X			X	
MA-4 (6)	Nonlocal Maintenance | Cryptographic Protection	+	+	+	+	+	+				MA-4 (6)	X	X		NSS Best Practice.		
MA-4 (7)	Nonlocal Maintenance | Remote Disconnect Verification				+	+	+				MA-4 (7)		X		NSS Best Practice.		
MA-5	Maintenance Personnel	X	X	X	X	X	X	X	X	X	MA-5	X	X	X			
MA-5 (1)	Maintenance Personnel | Individuals Without Appropriate Access			X			X			X	MA-5 (1)	X	X	X			
MA-5 (2)	Maintenance Personnel | Security Clearances For Classified Systems										MA-5 (2)	X	X	X		X	
MA-5 (3)	Maintenance Personnel | Citizenship Requirements For Classified Systems										MA-5 (3)	X	X	X		X	
MA-5 (4)	Maintenance Personnel | Foreign Nationals										MA-5 (4)	X	X	X			
MA-5 (5)	Maintenance Personnel | Non System-Related Maintenance										MA-5 (5)	X	X	X			
MA-6	Timely Maintenance								X	X	MA-6			X			
MA-6 (1)	Timely Maintenance | Preventive Maintenance										MA-6 (1)			X			
MA-6 (2)	Timely Maintenance | Predictive Maintenance										MA-6 (2)			X			
MA-6 (3)	Timely Maintenance | Automated Support for Predictive Maintenance										MA-6 (3)			X			
MP-1	Media Protection Policy and Procedures	X	X	X	X	X	X				MP-1	X	X			X	a. [Assignment: organization-defined personnel or roles]; b. 1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
MP-2	Media Access	X	X	X	X	X	X				MP-2	X	X			X	[Assignment: organization-defined types of digital and/or non-digital media]; [Assignment: organization-defined personnel or roles].
MP-2 (1)	Media Access | Automated Restricted Access	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	MP-2 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
MP-2 (2)	Media Access | Cryptographic Protection	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	MP-2 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
MP-3	Media Marking		X	X							MP-3	X					
MP-4	Media Storage		X	X		X	X				MP-4	X	X				
MP-4 (1)	Media Storage | Cryptographic Protection	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	MP-4 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
MP-4 (2)	Media Storage | Automated Restricted Access										MP-4 (2)	X	X				
MP-5	Media Transport		X	X		X	X				MP-5	X	X			X	
MP-5 (1)	Media Transport | Protection Outside of Controlled Areas	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	MP-5 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
MP-5 (2)	Media Transport | Documentation of Activities	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	MP-5 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
MP-5 (3)	Media Transport | Custodians										MP-5 (3)	X	X			X	
MP-5 (4)	Media Transport | Cryptographic Protection		X	X		X	X				MP-5 (4)	X	X				
MP-6	Media Sanitization	X	X	X							MP-6	X				X	
MP-6 (1)	Media Sanitization | Review / Approve / Track / Document / Verify			X							MP-6 (1)	X				X	
MP-6 (2)	Media Sanitization | Equipment Testing			X							MP-6 (2)	X				X	[Assignment: organization-defined frequency]
MP-6 (3)	Media Sanitization | Nondestructive Techniques			X							MP-6 (3)	X					[Assignment: organization-defined circumstances requiring sanitization of portable storage devices]
MP-6 (4)	Media Sanitization | Controlled Unclassified Information	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	MP-6 (4)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
MP-6 (5)	Media Sanitization | Classified Information	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	MP-6 (5)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
MP-6 (6)	Media Sanitization | Media Destruction	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	MP-6 (6)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
MP-6 (7)	Media Sanitization | Dual Authorization										MP-6 (7)	X					
MP-6 (8)	Media Sanitization | Remote Purging / Wiping of Information										MP-6 (8)	X					
MP-7	Media Use	X	X	X	X	X	X				MP-7	X	X				
MP-7 (1)	Media Use | Prohibit Use without Owner				+	X	X				MP-7 (1)		X		APT. Issuance: CNSSP No. 26. NSS Best Practice.		
MP-7 (2)	Media Use | Prohibit Use of Sanitization- Resistant Media										MP-7 (2)	X					
MP-8	Media Downgrading										MP-8	X					
MP-8 (1)	Media Downgrading | Documentation of Process										MP-8 (1)	X					
MP-8 (2)	Media Downgrading | Equipment Testing										MP-8 (2)	X					[Assignment: organization-defined tests]; [Assignment: organization-defined frequency]
MP-8 (3)	Media Downgrading | Controlled Unclassified Information										MP-8 (3)	X					
MP-8 (4)	Media Downgrading | Classified Information										MP-8 (4)	X					
PE-1	Physical and Environmental Protection Policy and Procedures	X	X	X	X	X	X	X	X	X	PE-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b. 1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
PE-2	Physical Access Authorizations	X	X	X	X	X	X	X	X	X	PE-2	X	X	X		X	c. [Assignment: organization-defined frequency]
PE-2 (1)	Physical Access Authorizations | Access by Position / Role										PE-2 (1)	X	X	X		X	
PE-2 (2)	Physical Access Authorizations | Two Forms of Identification										PE-2 (2)	X	X				
PE-2 (3)	Physical Access Authorizations | Restrict Unescorted Access										PE-2 (3)	X				X	
PE-3	Physical Access Control	X	X	X	X	X	X	X	X	X	PE-3	X	X	X		X	
PE-3 (1)	Physical Access Control | Information System Access	+	+	X	+	+	X				PE-3 (1)	X	X		NSS Best Practice. Insider Threat.	X	
PE-3 (2)	Physical Access Control | Facility / Information System Boundaries										PE-3 (2)	X				X	
PE-3 (3)	Physical Access Control | Continuous Guards / Alarms / Monitoring										PE-3 (3)	X	X			X	
PE-3 (4)	Physical Access Control | Lockable Casings										PE-3 (4)	X	X				
PE-3 (5)	Physical Access Control | Tamper Protection										PE-3 (5)		X				
PE-3 (6)	Physical Access Control | Facility Penetration Testing										PE-3 (6)		X			X	
PE-4	Access Control For Transmission Medium		X	X		X	X				PE-4	X	X			X	
PE-5	Access Control For Output Devices		X	X							PE-5	X					
PE-5 (1)	Access Control For Output Devices | Access to Output by Authorized Individuals										PE-5 (1)	X					
PE-5 (2)	Access Control For Output Devices | Access to Output by Individual Identity										PE-5 (2)	X					
PE-5 (3)	Access Control For Output Devices | Marking Output Devices										PE-5 (3)	X					
PE-6	Monitoring Physical Access	X	X	X	X	X	X	X	X	X	PE-6	X	X	X			b. [Assignment: organization-defined frequency]; [Assignment: organization-defined events or potential indications of events]
PE-6 (1)	Monitoring Physical Access | Intrusion Alarms / Surveillance Equipment		X	X		X	X		X	X	PE-6 (1)	X	X	X			
PE-6 (2)	Monitoring Physical Access | Automated Intrusion Recognition / Responses										PE-6 (2)	X	X	X			
PE-6 (3)	Monitoring Physical Access | Video Surveillance										PE-6 (3)	X	X	X			[Assignment: organization-defined operational areas]; [Assignment: organization-defined time period]
PE-6 (4)	Monitoring Physical Access | Monitoring Physical Access to Information Systems			X			X			X	PE-6 (4)	X	X	X			
PE-7	Visitor Control	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PE-7	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PE-7 (1)	Visitor Control	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PE-7 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PE-7 (2)	Visitor Control	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PE-7 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PE-8	Visitor Access Records	X	X	X	X	X	X	X	X	X	PE-8	X	X	X		X	a. [Assignment: organization-defined time period]; b. [Assignment: organization-defined frequency]
PE-8 (1)	Visitor Access Records | Automated Records Maintenance / Review			X			X				PE-8 (1)	X	X				
PE-8 (2)	Visitor Access Records | Physical Access Records	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PE-8 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PE-9	Power Equipment and Cabling								X	X	PE-9			X		X	
PE-9 (1)	Power Equipment and Cabling | Redundant Cabling										PE-9 (1)			X			
PE-9 (2)	Power Equipment and Cabling | Automatic Voltage Controls										PE-9 (2)			X		X	
PE-10	Emergency Shutoff								X	X	PE-10			X		X	
PE-10 (1)	Emergency Shutoff | Accidental / Unauthorized Activation	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PE-10 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PE-11	Emergency Power								X	X	PE-11			X			
PE-11 (1)	Emergency Power | Long-Term Alternate Power Supply - Minimal Operational Capability									X	PE-11 (1)			X		X	
PE-11 (2)	Emergency Power | Long-Term Alternate Power Supply - Self-Contained										PE-11 (2)			X		X	
PE-12	Emergency Lighting							X	X	X	PE-12			X		X	
PE-12 (1)	Emergency Lighting | Essential Missions / Business Functions										PE-12 (1)			X		X	
PE-13	Fire Protection							X	X	X	PE-13			X		X	
PE-13 (1)	Fire Protection | Detection Devices / Systems									X	PE-13 (1)			X		X	
PE-13 (2)	Fire Protection | Suppression Devices / Systems									X	PE-13 (2)			X		X	
PE-13 (3)	Fire Protection | Automatic Fire Suppression								X	X	PE-13 (3)			X		X	
PE-13 (4)	Fire Protection | Inspections									+	PE-13 (4)			X	NIST Assumption: Information systems are located in physical facilities. Best Practice.	X	[Assignment: organization-defined frequency]; [Assignment: organization-defined time period]
PE-14	Temperature and Humidity Controls							X	X	X	PE-14			X		X	a. [Assignment: organization-defined acceptable levels]; b. [Assignment: organization-defined frequency]
PE-14 (1)	Temperature and Humidity Controls | Automatic Controls										PE-14 (1)			X		X	
PE-14 (2)	Temperature and Humidity Controls | Monitoring With Alarms / Notifications										PE-14 (2)			X		X	
PE-15	Water Damage Protection							X	X	X	PE-15			X		X	
PE-15 (1)	Water Damage Protection | Automation Support									X	PE-15 (1)			X			
PE-16	Delivery and Removal	X	X	X	X	X	X	X	X	X	PE-16	X	X	X		X	
PE-17	Alternate Work Site		X	X		X	X		X	X	PE-17	X	X	X			
PE-18	Location of Information System Components									X	PE-18			X		X	
PE-18 (1)	Location of Information System Components | Facility Site										PE-18 (1)			X		X	
PE-19	Information Leakage										PE-19	X					
PE-19 (1)	Information Leakage | National Emissions / TEMPEST Policies and Procedures										PE-19 (1)	X					
PE-20	Asset Monitoring and Tracking										PE-20			X			
PL-1	Security Planning Policy and Procedures	X	X	X	X	X	X	X	X	X	PL-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
PL-2	System Security Plan	X	X	X	X	X	X	X	X	X	PL-2	X	X	X			b. [Assignment: organization-defined personnel or roles]; c. [Assignment: organization-defined frequency]
PL-2 (1)	System Security Plan | Concept of Operations	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PL-2 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PL-2 (2)	System Security Plan | Functional Architecture	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PL-2 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PL-2 (3)	System Security Plan | Plan / Coordinate With Other Organizational Entities		X	X		X	X		X	X	PL-2 (3)	X	X	X			
PL-3	System Security Plan Update	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PL-3	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PL-4	Rules of Behavior	X	X	X	X	X	X	X	X	X	PL-4	X	X	X			c. [Assignment: organization-defined frequency]
PL-4 (1)	Rules of Behavior | Social Media and Networking Restrictions		X	X							PL-4 (1)	X				X	
PL-5	Privacy Impact Assessment	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PL-5	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PL-6	Security-Related Activity Planning	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PL-6	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PL-7	Security Concept of Operations										PL-7	X	X	X			b. [Assignment: organization-defined frequency]
PL-8	Information Security Architecture	+	X	X	+	X	X	+	X	X	PL-8	X	X	X	NSS Best Practice.		b. [Assignment: organization-defined frequency]
PL-8 (1)	Information Security Architecture | Defense- in-Depth	+	+	+	+	+	+	+	+	+	PL-8 (1)	X	X	X	APT.		
PL-8 (2)	Information Security Architecture | Supplier Diversity	+	+	+	+	+	+	+	+	+	PL-8 (2)	X	X	X	NSS Best Practice.		
PL-9	Central Management										PL-9	X	X	X		X	
PS-1	Personnel Security Policy and Procedures	X	X	X	X	X	X	X	X	X	PS-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
PS-2	Position Risk Designation	X	X	X	X	X	X	X	X	X	PS-2	X	X	X		X	c. [Assignment: organization-defined frequency]
PS-3	Personnel Screening	X	X	X	X	X	X				PS-3	X	X				
PS-3 (1)	Personnel Screening | Classified Information										PS-3 (1)	X					
PS-3 (2)	Personnel Screening | Formal Indoctrination										PS-3 (2)	X					
PS-3 (3)	Personnel Screening | Information With Special Protection Measures										PS-3 (3)	X					
PS-4	Personnel Termination	X	X	X	X	X	X	X	X	X	PS-4	X	X	X			a. [Assignment: organization-defined time period]; c. [Assignment: organization-defined information security topics]; f. [Assignment: organization-defined personnel or roles]; [Assignment: organization-defined time period]
PS-4 (1)	Personnel Termination | Post-Employment Requirements	+	+	+							PS-4 (1)	X			Best Practice.		
PS-4 (2)	Personnel Termination | Automated Notification			X			X			X	PS-4 (2)	X	X	X			
PS-5	Personnel Transfer	X	X	X	X	X	X	X	X	X	PS-5	X	X	X			b. [Assignment: organization-defined transfer or reassignment actions]; [Assignment: organization-defined time period following the formal transfer action]; d. [Assignment: organization-defined personnel or roles]; [Assignment: organization-defined time period]
PS-6	Access Agreements	X	X	X	X	X	X				PS-6	X	X			X	b. [Assignment: organization-defined frequency]; c.2. [Assignment: organization-defined frequency]
PS-6 (1)	Access Agreements | Information Requiring Special Protection	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	PS-6 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
PS-6 (2)	Access Agreements | Classified Information Requiring Special Protection										PS-6 (2)	X				X	
PS-6 (3)	Access Agreements | Post-Employment Requirements	+	+	+							PS-6 (3)	X			Best Practice.		
PS-7	Third-Party Personnel Security	X	X	X	X	X	X				PS-7	X	X			X	d. [Assignment: organization-defined personnel or roles]; [Assignment: organization-defined time period]
PS-8	Personnel Sanctions	X	X	X	X	X	X	X	X	X	PS-8	X	X	X		X	
RA-1	Risk Assessment Policy and Procedures	X	X	X	X	X	X	X	X	X	RA-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
RA-2	Security Categorization	X	X	X	X	X	X	X	X	X	RA-2	X	X	X			
RA-3	Risk Assessment	X	X	X	X	X	X	X	X	X	RA-3	X	X	X			b. [Selection: security plan; risk assessment report;; [Assignment: organization-defined document]]; c. [Assignment: organization-defined frequency]; d. [Assignment: organization-defined personnel or roles]; e. [Assignment: organization-defined frequency]
RA-4	Risk Assessment Update	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	RA-4	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
RA-5	Vulnerability Scanning	X	X	X	X	X	X	X	X	X	RA-5	X	X	X			a. [Assignment: organization-defined frequency and/or randomly in accordance with organization-defined process]; d. [Assignment: organization-defined response times]; e. [Assignment: organization-defined personnel or roles]
RA-5 (1)	Vulnerability Scanning | Update Tool Capability	+	X	X	+	X	X	+	X	X	RA-5 (1)	X	X	X	Insider Threat. APT. NSS Best Practice.		
RA-5 (2)	Vulnerability Scanning | Update by Frequency / Prior to New Scan / When Identified	+	X	X	+	X	X	+	X	X	RA-5 (2)	X	X	X	Insider Threat. APT.		[Selection  (one or more): [Assignment: organization-defined frequency]; prior to a new scan; when new vulnerabilities are identified and reported].
RA-5 (3)	Vulnerability Scanning | Breadth /Depth of Coverage										RA-5 (3)	X	X	X		X	
RA-5 (4)	Vulnerability Scanning | Discoverable Information	+	+	X	+	+	X	+	+	X	RA-5 (4)	X	X	X	Insider Threat. APT.		
RA-5 (5)	Vulnerability Scanning | Privileged Access	+	X	X	+	X	X	+	X	X	RA-5 (5)	X	X	X	Insider Threat. APT.		[Assignment: organization-identified information system components]; [Assignment: organization-defined vulnerability scanning activities]
RA-5 (6)	Vulnerability Scanning | Automated Trend Analyses										RA-5 (6)	X	X	X			
RA-5 (7)	Vulnerability Scanning | Automated Detection and Notification of Unauthorized Components	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	RA-5 (7)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
RA-5 (8)	Vulnerability Scanning | Review Historic Audit Logs										RA-5 (8)	X	X	X			
RA-5 (9)	Vulnerability Scanning | Penetration Testing and Analyses	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	RA-5 (9)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
RA-5 (10)	Vulnerability Scanning | Correlate Scanning Information			+			+			+	RA-5 (10)	X	X	X	APT.		
RA-6	Technical Surveillance Countermeasures Survey										RA-6	X	X	X			
SA-1	System and Services Acquisition Policy and Procedures	X	X	X	X	X	X	X	X	X	SA-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b. 1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
SA-2	Allocation of Resources	X	X	X	X	X	X	X	X	X	SA-2	X	X	X			
SA-3	System Development Life Cycle	X	X	X	X	X	X	X	X	X	SA-3	X	X	X			
SA-4	Acquisition Process	X	X	X	X	X	X	X	X	X	SA-4	X	X	X			
SA-4 (1)	Acquisition Process | Functional Properties of Security Controls		X	X		X	X		X	X	SA-4 (1)	X	X	X		X	
SA-4 (2)	Acquisition Process | Design / Implementation Information for Security Controls		X	X		X	X		X	X	SA-4 (2)	X	X	X		X	
SA-4 (3)	Acquisition Process | Development Methods / Techniques / Practices						+				SA-4 (3)		X		NSS Best Practice. Issuance: CNSSD No. 505.	X	
SA-4 (4)	Acquisition Process | Assignment of Components to Systems	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	SA-4 (4)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
SA-4 (5)	Acquisition Process | System / Component / Service Configurations						+				SA-4 (5)		X		NSS Best Practice.	X	
SA-4 (6)	Acquisition Process | Use of Information Assurance Products										SA-4 (6)	X				X	
SA-4 (7)	Acquisition Process | NIAP-Approved Protection Profiles				+	+	+				SA-4 (7)		X		Issuance: CNSSP No. 11		
SA-4 (8)	Acquisition Process | Continuous Monitoring Plan										SA-4 (8)	X	X	X			
SA-4 (9)	Acquisition Process | Functions / Ports / Protocols / Services in Use	+	X	X	+	X	X	+	X	X	SA-4 (9)	X	X	X	NSS Best Practice.		
SA-4 (10)	Acquisition Process | Use of Approved PIV Products	X	X	X	X	X	X				SA-4 (10)	X	X				
SA-5	Information System Documentation	X	X	X	X	X	X	X	X	X	SA-5	X	X	X			
SA-5 (1)	Information System Documentation | Functional Properties of Security Controls	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	SA-5 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
SA-5 (2)	Information System Documentation | Security-Relevant External System Interfaces	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	SA-5 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
SA-5 (3)	Information System Documentation | High- Level Design	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	SA-5 (3)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
SA-5 (4)	Information System Documentation | Low- Level Design	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	SA-5 (4)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
SA-5 (5)	Information System Documentation | Source Code	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	SA-5 (5)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
SA-6	Software Usage Restrictions	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	SA-6	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
SA-6 (1)	Software Usage Restrictions	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	SA-6 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
SA-7	User-Installed Software	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	SA-7	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
SA-8	Security Engineering Principles	+	X	X	+	X	X	+	X	X	SA-8	X	X	X	NSS Best Practice.	X	
SA-9	External Information System Services	X	X	X	X	X	X	X	X	X	SA-9	X	X	X			
SA-9 (1)	External Information Systems | Risk Assessments / Organizational Approvals				+	+	+				SA-9 (1)		X		NSS Best Practice.	X	(b) [Assignment: organization-defined personnel or roles].
SA-9 (2)	External Information Systems | Identification of Functions / Ports / Protocols / Services	+	X	X	+	X	X	+	X	X	SA-9 (2)	X	X	X	NSS Best Practice.		[Assignment: organization-defined external information system services]
SA-9 (3)	External Information Systems | Establish / Maintain Trust Relationship with Providers										SA-9 (3)		X				
SA-9 (4)	External Information Systems | Consistent Interests of Consumers and Providers										SA-9 (4)	X	X	X			
SA-9 (5)	External Information Systems | Processing, Storage, and Service Location										SA-9 (5)	X	X	X			
SA-10	Developer Configuration Management				+	X	X				SA-10		X		In support of and/or consistent with desired allocation of SA-10 (1).		
SA-10 (1)	Developer Configuration Management | Software / Firmware Integrity Verification				+	+	+				SA-10 (1)		X		APT.		
SA-10 (2)	Developer Configuration Management | Alternative Configuration Management Processes										SA-10 (2)		X				
SA-10 (3)	Developer Configuration Management | Hardware Integrity Verification										SA-10 (3)		X				
SA-10 (4)	Developer Configuration Management | Trusted Generation										SA-10 (4)		X				
SA-10 (5)	Developer Configuration Management | Mapping Integrity for Version Control										SA-10 (5)		X				
